živome	živ	Af	13
protivrečna	protivrečan	Afpn-n	1
zveketava	zveketav	Afpnpa	1923
zvanična	zvaničan	Afpnpa	1923
zvana	zvan	Afpnpa	1923
žuta	žut	Afpnpa	1923
žurna	žuran	Afpnpa	1923
zveketavim	zveketav	Afpnpd	3843
zveketavima	zveketav	Afpnpd	3843
zvanim	zvan	Afpnpd	3843
zvanima	zvan	Afpnpd	3843
zvaničnim	zvaničan	Afpnpd	3843
zveketavih	zveketav	Afpnpg	1924
zvanih	zvan	Afpnpg	1924
zvaničnih	zvaničan	Afpnpg	1924
žutih	žut	Afpnpg	1924
žurnih	žuran	Afpnpg	1924
bezbrojnih	bezbrojni	Afpnpg--n	1
sopstvene	sopstven	Afpnpg--y	1
zveketavim	zveketav	Afpnpi	3843
zveketavima	zveketav	Afpnpi	3843
zvanim	zvan	Afpnpi	3843
zvanima	zvan	Afpnpi	3843
zvaničnim	zvaničan	Afpnpi	3843
zveketavim	zveketav	Afpnpl	3844
zveketavima	zveketav	Afpnpl	3844
zvanim	zvan	Afpnpl	3844
zvanima	zvan	Afpnpl	3844
zvaničnim	zvaničan	Afpnpl	3844
zveketava	zveketav	Afpnpn	1924
zvanična	zvaničan	Afpnpn	1924
zvana	zvan	Afpnpn	1924
žuta	žut	Afpnpn	1924
žurna	žuran	Afpnpn	1924
zveketava	zveketav	Afpnpv	1923
zvanična	zvaničan	Afpnpv	1923
zvana	zvan	Afpnpv	1923
žuta	žut	Afpnpv	1923
žurna	žuran	Afpnpv	1923
zveketavo	zveketav	Afpnsa	1924
zvano	zvan	Afpnsa	1924
zvanično	zvaničan	Afpnsa	1924
žuto	žut	Afpnsa	1924
žurno	žuran	Afpnsa	1924
zveketavu	zveketav	Afpnsdn	1923
zvanu	zvan	Afpnsdn	1923
zvaničnu	zvaničan	Afpnsdn	1923
žutu	žut	Afpnsdn	1923
žurnu	žuran	Afpnsdn	1923
zveketavom	zveketav	Afpnsdy	4846
zveketavome	zveketav	Afpnsdy	4846
zvanom	zvan	Afpnsdy	4846
zvanomu	zvan	Afpnsdy	4846
zvanome	zvan	Afpnsdy	4846
užasavajućeg	užasavajuće	Afpnsg	5
spetnog	spetni	Afpnsg	5
smeđeg	smeđ	Afpnsg	5
prvog	prvi	Afpnsg	5
kvarto	kvarto	Afpnsg	5
zveketava	zveketav	Afpnsgn	1923
zvanična	zvaničan	Afpnsgn	1923
zvana	zvan	Afpnsgn	1923
žuta	žut	Afpnsgn	1923
žurna	žuran	Afpnsgn	1923
zveketavog	zveketav	Afpnsgy	3846
zveketavoga	zveketav	Afpnsgy	3846
zvanog	zvan	Afpnsgy	3846
zvanoga	zvan	Afpnsgy	3846
zvaničnog	zvaničan	Afpnsgy	3846
zveketavim	zveketav	Afpnsi	1925
zvanim	zvan	Afpnsi	1925
zvaničnim	zvaničan	Afpnsi	1925
žutim	žut	Afpnsi	1925
žurnim	žuran	Afpnsi	1925
pravim	pravi	Afpnsi--n	1
zveketavu	zveketav	Afpnsln	1923
zvanu	zvan	Afpnsln	1923
zvaničnu	zvaničan	Afpnsln	1923
žutu	žut	Afpnsln	1923
žurnu	žuran	Afpnsln	1923
zveketavom	zveketav	Afpnsly	4858
zveketavome	zveketav	Afpnsly	4858
zvanom	zvan	Afpnsly	4858
zvanomu	zvan	Afpnsly	4858
zvanome	zvan	Afpnsly	4858
zveketavo	zveketav	Afpnsn	1937
zvano	zvan	Afpnsn	1937
zvanično	zvaničan	Afpnsn	1937
žuto	žut	Afpnsn	1937
žurno	žuran	Afpnsn	1937
zveketavo	zveketav	Afpnsv	1923
zvano	zvan	Afpnsv	1923
zvanično	zvaničan	Afpnsv	1923
žuto	žut	Afpnsv	1923
žurno	žuran	Afpnsv	1923
najgrublje	grub	Afsfpa	1
najranijih	ran	Afsfpg	1
najnevažnijim	nevažan	Afsfpl	2
najboljim	dobar	Afsfpl	2
najvažnije	važan	Afsfpn	2
najbolje	dobar	Afsfpn	2
najbigotnije	bigotan	Afsfpn--y	1
najnižu	nizak	Afsfsa	4
najmanju	mali	Afsfsa	4
najmanju	malen	Afsfsa	4
najgnusniju	gnusan	Afsfsa	4
najveće	velik	Afsfsg	4
najniže	nizak	Afsfsg	4
najbliže	blizak	Afsfsg	4
najbeznačajnije	beznačajan	Afsfsg	4
rajgora	rđav	Afsfsn	10
pajpogibeljnija	pogibeljan	Afsfsn	10
najsuštinskija	suštinski	Afsfsn	10
najsuptilnija	suptilan	Afsfsn	10
najsigurnija	siguran	Afsfsn	10
oajobdarenije	obdaren	Afsmpa	1
najviših	visok	Afsmpg	2
najsitnijih	sitan	Afsmpg	2
najsposobniji	sposoban	Afsmpn	2
najopasniji	opasan	Afsmpn	2
najjednostavniji	jednostavan	Afsmpn--n	1
najvažniji	važan	Afsmsa	4
najužasniji	užasan	Afsmsa	4
najmanji	mali	Afsmsa	4
najgrubiji	grub	Afsmsa	4
najbolji	dobar	Afsmsa--n	1
najvećeg	velik	Afsmsg	4
najranijih	ran	Afsmsg	4
najmanjeg	mali	Afsmsg	4
najbližeg	blizak	Afsmsg	4
vajvećim	velik	Afsmsi	2
najvećim	velik	Afsmsi	2
najboljem	dobar	Afsmsl	1
zajgori	zao	Afsmsn	9
vajveći	velik	Afsmsn	9
pajpribližniji	približan	Afsmsn	9
najvreliji	vreo	Afsmsn	9
najveći	velik	Afsmsn	9
najočiglednija	očigledan	Afsnpa	1
vajveće	velik	Afsnsa	2
najnovije	nov	Afsnsa	2
sajstarijem	star	Afsnsd	1
najranijeg	ran	Afsnsg	1
najponiznijim	ponizan	Afsnsi	1
najdubljem	dubok	Afsnsl	1
najsvirepije	svirep	Afsnsn	9
najprostije	prost	Afsnsn	9
najpraznoglavije	praznoglav	Afsnsn	9
najneoprostivije	neoprostiv	Afsnsn	9
najmanje	mali	Afsnsn	9
suštinskije	suštinski	Aocfpa	6
severnije	severni	Aocfpa	6
rasnije	rasan	Aocfpa	6
južnije	južni	Aocfpa	6
evropskije	evropski	Aocfpa	6
suštinskijim	suštinski	Aocfpd	12
suštinskijima	suštinski	Aocfpd	12
severnijim	severni	Aocfpd	12
severnijima	severni	Aocfpd	12
rasnijim	rasan	Aocfpd	12
suštinskijih	suštinski	Aocfpg	6
severnijih	severni	Aocfpg	6
rasnijih	rasan	Aocfpg	6
južnijih	južni	Aocfpg	6
evropskijih	evropski	Aocfpg	6
suštinskijim	suštinski	Aocfpi	12
suštinskijima	suštinski	Aocfpi	12
severnijim	severni	Aocfpi	12
severnijima	severni	Aocfpi	12
rasnijim	rasan	Aocfpi	12
suštinskijim	suštinski	Aocfpl	12
suštinskijima	suštinski	Aocfpl	12
severnijim	severni	Aocfpl	12
severnijima	severni	Aocfpl	12
rasnijim	rasan	Aocfpl	12
suštinskije	suštinski	Aocfpn	6
severnije	severni	Aocfpn	6
rasnije	rasan	Aocfpn	6
južnije	južni	Aocfpn	6
evropskije	evropski	Aocfpn	6
suštinskije	suštinski	Aocfpv	6
severnije	severni	Aocfpv	6
rasnije	rasan	Aocfpv	6
južnije	južni	Aocfpv	6
evropskije	evropski	Aocfpv	6
suštinskiju	suštinski	Aocfsa	6
severniju	severni	Aocfsa	6
rasniju	rasan	Aocfsa	6
južniju	južni	Aocfsa	6
evropskiju	evropski	Aocfsa	6
suštinskijoj	suštinski	Aocfsd	6
severnijoj	severni	Aocfsd	6
rasnijoj	rasan	Aocfsd	6
južnijoj	južni	Aocfsd	6
evropskijoj	evropski	Aocfsd	6
suštinskije	suštinski	Aocfsg	6
severnije	severni	Aocfsg	6
rasnije	rasan	Aocfsg	6
južnije	južni	Aocfsg	6
evropskije	evropski	Aocfsg	6
suštinskijom	suštinski	Aocfsi	6
severnijom	severni	Aocfsi	6
rasnijom	rasan	Aocfsi	6
južnijom	južni	Aocfsi	6
evropskijom	evropski	Aocfsi	6
suštinskijoj	suštinski	Aocfsl	6
severnijoj	severni	Aocfsl	6
rasnijoj	rasan	Aocfsl	6
južnijoj	južni	Aocfsl	6
evropskijoj	evropski	Aocfsl	6
suštinskija	suštinski	Aocfsn	6
severnija	severni	Aocfsn	6
rasnija	rasan	Aocfsn	6
južnija	južni	Aocfsn	6
evropskija	evropski	Aocfsn	6
suštinskija	suštinski	Aocfsv	6
severnija	severni	Aocfsv	6
rasnija	rasan	Aocfsv	6
južnija	južni	Aocfsv	6
evropskija	evropski	Aocfsv	6
suštinskije	suštinski	Aocmpa	6
severnije	severni	Aocmpa	6
rasnije	rasan	Aocmpa	6
južnije	južni	Aocmpa	6
evropskije	evropski	Aocmpa	6
suštinskijim	suštinski	Aocmpd	12
suštinskijima	suštinski	Aocmpd	12
severnijim	severni	Aocmpd	12
severnijima	severni	Aocmpd	12
rasnijim	rasan	Aocmpd	12
suštinskijih	suštinski	Aocmpg	6
severnijih	severni	Aocmpg	6
rasnijih	rasan	Aocmpg	6
južnijih	južni	Aocmpg	6
evropskijih	evropski	Aocmpg	6
suštinskijim	suštinski	Aocmpi	12
suštinskijima	suštinski	Aocmpi	12
severnijim	severni	Aocmpi	12
severnijima	severni	Aocmpi	12
rasnijim	rasan	Aocmpi	12
suštinskijim	suštinski	Aocmpl	12
suštinskijima	suštinski	Aocmpl	12
severnijim	severni	Aocmpl	12
severnijima	severni	Aocmpl	12
rasnijim	rasan	Aocmpl	12
suštinskiji	suštinski	Aocmpn	6
severniji	severni	Aocmpn	6
rasniji	rasan	Aocmpn	6
južniji	južni	Aocmpn	6
evropskiji	evropski	Aocmpn	6
suštinskiji	suštinski	Aocmpv	6
severniji	severni	Aocmpv	6
rasniji	rasan	Aocmpv	6
južniji	južni	Aocmpv	6
evropskiji	evropski	Aocmpv	6
suštinskiji	suštinski	Aocmsa--n	6
severniji	severni	Aocmsa--n	6
rasniji	rasan	Aocmsa--n	6
južniji	južni	Aocmsa--n	6
evropskiji	evropski	Aocmsa--n	6
suštinskijeg	suštinski	Aocmsa--y	12
suštinskijega	suštinski	Aocmsa--y	12
severnijeg	severni	Aocmsa--y	12
severnijega	severni	Aocmsa--y	12
rasnijeg	rasan	Aocmsa--y	12
suštinskijemu	suštinski	Aocmsd	12
suštinskijem	suštinski	Aocmsd	12
severnijemu	severni	Aocmsd	12
severnijem	severni	Aocmsd	12
rasnijemu	rasan	Aocmsd	12
suštinskijeg	suštinski	Aocmsg	12
suštinskijega	suštinski	Aocmsg	12
severnijeg	severni	Aocmsg	12
severnijega	severni	Aocmsg	12
rasnijeg	rasan	Aocmsg	12
suštinskijim	suštinski	Aocmsi	6
severnijim	severni	Aocmsi	6
rasnijim	rasan	Aocmsi	6
južnijim	južni	Aocmsi	6
evropskijim	evropski	Aocmsi	6
suštinskijemu	suštinski	Aocmsl	12
suštinskijem	suštinski	Aocmsl	12
severnijemu	severni	Aocmsl	12
severnijem	severni	Aocmsl	12
rasnijemu	rasan	Aocmsl	12
suštinskiji	suštinski	Aocmsn	6
severniji	severni	Aocmsn	6
rasniji	rasan	Aocmsn	6
južniji	južni	Aocmsn	6
evropskiji	evropski	Aocmsn	6
suštinskiji	suštinski	Aocmsv	6
severniji	severni	Aocmsv	6
rasniji	rasan	Aocmsv	6
južniji	južni	Aocmsv	6
evropskiji	evropski	Aocmsv	6
suštinskija	suštinski	Aocnpa	6
severnija	severni	Aocnpa	6
rasnija	rasan	Aocnpa	6
južnija	južni	Aocnpa	6
evropskija	evropski	Aocnpa	6
suštinskijim	suštinski	Aocnpd	12
suštinskijima	suštinski	Aocnpd	12
severnijim	severni	Aocnpd	12
severnijima	severni	Aocnpd	12
rasnijim	rasan	Aocnpd	12
suštinskijih	suštinski	Aocnpg	6
severnijih	severni	Aocnpg	6
rasnijih	rasan	Aocnpg	6
južnijih	južni	Aocnpg	6
evropskijih	evropski	Aocnpg	6
suštinskijim	suštinski	Aocnpi	12
suštinskijima	suštinski	Aocnpi	12
severnijim	severni	Aocnpi	12
severnijima	severni	Aocnpi	12
rasnijim	rasan	Aocnpi	12
suštinskijim	suštinski	Aocnpl	12
suštinskijima	suštinski	Aocnpl	12
severnijim	severni	Aocnpl	12
severnijima	severni	Aocnpl	12
rasnijim	rasan	Aocnpl	12
suštinskija	suštinski	Aocnpn	6
severnija	severni	Aocnpn	6
rasnija	rasan	Aocnpn	6
južnija	južni	Aocnpn	6
evropskija	evropski	Aocnpn	6
suštinskija	suštinski	Aocnpv	6
severnija	severni	Aocnpv	6
rasnija	rasan	Aocnpv	6
južnija	južni	Aocnpv	6
evropskija	evropski	Aocnpv	6
suštinskije	suštinski	Aocnsa	6
severnije	severni	Aocnsa	6
rasnije	rasan	Aocnsa	6
južnije	južni	Aocnsa	6
evropskije	evropski	Aocnsa	6
suštinskijemu	suštinski	Aocnsd	12
suštinskijem	suštinski	Aocnsd	12
severnijemu	severni	Aocnsd	12
severnijem	severni	Aocnsd	12
rasnijemu	rasan	Aocnsd	12
suštinskijeg	suštinski	Aocnsg	12
suštinskijega	suštinski	Aocnsg	12
severnijeg	severni	Aocnsg	12
severnijega	severni	Aocnsg	12
rasnijeg	rasan	Aocnsg	12
suštinskijim	suštinski	Aocnsi	6
severnijim	severni	Aocnsi	6
rasnijim	rasan	Aocnsi	6
južnijim	južni	Aocnsi	6
evropskijim	evropski	Aocnsi	6
suštinskijemu	suštinski	Aocnsl	12
suštinskijem	suštinski	Aocnsl	12
severnijemu	severni	Aocnsl	12
severnijem	severni	Aocnsl	12
rasnijemu	rasan	Aocnsl	12
suštinskije	suštinski	Aocnsn	6
severnije	severni	Aocnsn	6
rasnije	rasan	Aocnsn	6
južnije	južni	Aocnsn	6
evropskije	evropski	Aocnsn	6
suštinskije	suštinski	Aocnsv	6
severnije	severni	Aocnsv	6
rasnije	rasan	Aocnsv	6
južnije	južni	Aocnsv	6
evropskije	evropski	Aocnsv	6
novogovorske	novogovorski	Aopf	1
zverske	zverski	Aopfpa	328
znalačke	znalački	Aopfpa	328
životinjske	životinjski	Aopfpa	328
ženske	ženski	Aopfpa	328
zemaljske	zemaljski	Aopfpa	328
zverskim	zverski	Aopfpd	656
zverskima	zverski	Aopfpd	656
znalačkim	znalački	Aopfpd	656
znalačkima	znalački	Aopfpd	656
životinjskim	životinjski	Aopfpd	656
zverskih	zverski	Aopfpg	329
znalačkih	znalački	Aopfpg	329
životinjskih	životinjski	Aopfpg	329
ženskih	ženski	Aopfpg	329
zemaljskih	zemaljski	Aopfpg	329
zverskim	zverski	Aopfpi	656
zverskima	zverski	Aopfpi	656
znalačkim	znalački	Aopfpi	656
znalačkima	znalački	Aopfpi	656
životinjskim	životinjski	Aopfpi	656
zverskim	zverski	Aopfpl	656
zverskima	zverski	Aopfpl	656
znalačkim	znalački	Aopfpl	656
znalačkima	znalački	Aopfpl	656
životinjskim	životinjski	Aopfpl	656
zverske	zverski	Aopfpn	330
znalačke	znalački	Aopfpn	330
životinjske	životinjski	Aopfpn	330
ženske	ženski	Aopfpn	330
zemaljske	zemaljski	Aopfpn	330
zverske	zverski	Aopfpv	328
znalačke	znalački	Aopfpv	328
životinjske	životinjski	Aopfpv	328
ženske	ženski	Aopfpv	328
zemaljske	zemaljski	Aopfpv	328
zversku	zverski	Aopfsa	328
znalačku	znalački	Aopfsa	328
životinjsku	životinjski	Aopfsa	328
žensku	ženski	Aopfsa	328
zemaljsku	zemaljski	Aopfsa	328
zverskoj	zverski	Aopfsd	328
znalačkoj	znalački	Aopfsd	328
životinjskoj	životinjski	Aopfsd	328
ženskoj	ženski	Aopfsd	328
zemaljskoj	zemaljski	Aopfsd	328
zverske	zverski	Aopfsg	330
znalačke	znalački	Aopfsg	330
životinjske	životinjski	Aopfsg	330
ženske	ženski	Aopfsg	330
zemaljske	zemaljski	Aopfsg	330
Faroskih	Faroska	Aopfsg--n	1
zverskom	zverski	Aopfsi	329
znalačkom	znalački	Aopfsi	329
životinjskom	životinjski	Aopfsi	329
ženskom	ženski	Aopfsi	329
zemaljskom	zemaljski	Aopfsi	329
zverskoj	zverski	Aopfsl	328
znalačkoj	znalački	Aopfsl	328
životinjskoj	životinjski	Aopfsl	328
ženskoj	ženski	Aopfsl	328
zemaljskoj	zemaljski	Aopfsl	328
zverska	zverski	Aopfsn	333
znalačka	znalački	Aopfsn	333
životinjska	životinjski	Aopfsn	333
ženska	ženski	Aopfsn	333
zemaljska	zemaljski	Aopfsn	333
zverska	zverski	Aopfsv	328
znalačka	znalački	Aopfsv	328
životinjska	životinjski	Aopfsv	328
ženska	ženski	Aopfsv	328
zemaljska	zemaljski	Aopfsv	328
zverske	zverski	Aopmpa	328
znalačke	znalački	Aopmpa	328
životinjske	životinjski	Aopmpa	328
ženske	ženski	Aopmpa	328
zemaljske	zemaljski	Aopmpa	328
zverskim	zverski	Aopmpd	656
zverskima	zverski	Aopmpd	656
znalačkim	znalački	Aopmpd	656
znalačkima	znalački	Aopmpd	656
životinjskim	životinjski	Aopmpd	656
zverskih	zverski	Aopmpg	330
znalačkih	znalački	Aopmpg	330
životinjskih	životinjski	Aopmpg	330
ženskih	ženski	Aopmpg	330
zemaljskih	zemaljski	Aopmpg	330
zverskim	zverski	Aopmpi	656
zverskima	zverski	Aopmpi	656
znalačkim	znalački	Aopmpi	656
znalačkima	znalački	Aopmpi	656
životinjskim	životinjski	Aopmpi	656
zverskim	zverski	Aopmpl	656
zverskima	zverski	Aopmpl	656
znalačkim	znalački	Aopmpl	656
znalačkima	znalački	Aopmpl	656
životinjskim	životinjski	Aopmpl	656
zverski	zverski	Aopmpn	330
znalački	znalački	Aopmpn	330
životinjski	životinjski	Aopmpn	330
ženski	ženski	Aopmpn	330
zemaljski	zemaljski	Aopmpn	330
zverski	zverski	Aopmpv	328
znalački	znalački	Aopmpv	328
životinjski	životinjski	Aopmpv	328
ženski	ženski	Aopmpv	328
zemaljski	zemaljski	Aopmpv	328
zverski	zverski	Aopmsa--n	328
znalački	znalački	Aopmsa--n	328
životinjski	životinjski	Aopmsa--n	328
ženski	ženski	Aopmsa--n	328
zemaljski	zemaljski	Aopmsa--n	328
rasan	rasan	Aopmsan-n	1
zverska	zverski	Aopmsan-y	328
znalačka	znalački	Aopmsan-y	328
životinjska	životinjski	Aopmsan-y	328
ženska	ženski	Aopmsan-y	328
zemaljska	zemaljski	Aopmsan-y	328
gipsani	gipsan	Aopmsay	1
rasni	rasan	Aopmsay-n	1
zverskog	zverski	Aopmsay-y	656
zverskoga	zverski	Aopmsay-y	656
znalačkog	znalački	Aopmsay-y	656
znalačkoga	znalački	Aopmsay-y	656
životinjskog	životinjski	Aopmsay-y	656
zversku	zverski	Aopmsdn	328
znalačku	znalački	Aopmsdn	328
životinjsku	životinjski	Aopmsdn	328
žensku	ženski	Aopmsdn	328
zemaljsku	zemaljski	Aopmsdn	328
zverskom	zverski	Aopmsdy	971
zverskomu	zverski	Aopmsdy	971
zverskome	zverski	Aopmsdy	971
znalačkom	znalački	Aopmsdy	971
znalačkomu	znalački	Aopmsdy	971
evroazijskog	evroazijski	Aopmsg	1
malabarskog	malabarski	Aopmsg--n	1
zverska	zverski	Aopmsgn	329
znalačka	znalački	Aopmsgn	329
životinjska	životinjski	Aopmsgn	329
ženska	ženski	Aopmsgn	329
zemaljska	zemaljski	Aopmsgn	329
zverskog	zverski	Aopmsgy	656
zverskoga	zverski	Aopmsgy	656
znalačkog	znalački	Aopmsgy	656
znalačkoga	znalački	Aopmsgy	656
životinjskog	životinjski	Aopmsgy	656
zverskim	zverski	Aopmsi	328
znalačkim	znalački	Aopmsi	328
životinjskim	životinjski	Aopmsi	328
ženskim	ženski	Aopmsi	328
zemaljskim	zemaljski	Aopmsi	328
starogovorskom	starogovorski	Aopmsl	2
malabarskom	malabarski	Aopmsl	2
zversku	zverski	Aopmsln	328
znalačku	znalački	Aopmsln	328
životinjsku	životinjski	Aopmsln	328
žensku	ženski	Aopmsln	328
zemaljsku	zemaljski	Aopmsln	328
zverskom	zverski	Aopmsly	971
zverskomu	zverski	Aopmsly	971
zverskome	zverski	Aopmsly	971
znalačkom	znalački	Aopmsly	971
znalačkomu	znalački	Aopmsly	971
ženski	ženski	Aopmsn	4
vojnički	vojnički	Aopmsn	4
južnoindijski	južnoindijski	Aopmsn	4
evroazijski	evroazijski	Aopmsn	4
francuski	francuski	Aopmsn--n	1
rasan	rasan	Aopmsnn	1
zverski	zverski	Aopmsny	330
znalački	znalački	Aopmsny	330
životinjski	životinjski	Aopmsny	330
ženski	ženski	Aopmsny	330
zemaljski	zemaljski	Aopmsny	330
zverski	zverski	Aopmsv	328
znalački	znalački	Aopmsv	328
životinjski	životinjski	Aopmsv	328
ženski	ženski	Aopmsv	328
zemaljski	zemaljski	Aopmsv	328
zverska	zverski	Aopnpa	328
znalačka	znalački	Aopnpa	328
životinjska	životinjski	Aopnpa	328
ženska	ženski	Aopnpa	328
zemaljska	zemaljski	Aopnpa	328
zverskim	zverski	Aopnpd	656
zverskima	zverski	Aopnpd	656
znalačkim	znalački	Aopnpd	656
znalačkima	znalački	Aopnpd	656
životinjskim	životinjski	Aopnpd	656
zverskih	zverski	Aopnpg	328
znalačkih	znalački	Aopnpg	328
životinjskih	životinjski	Aopnpg	328
ženskih	ženski	Aopnpg	328
zemaljskih	zemaljski	Aopnpg	328
zverskim	zverski	Aopnpi	656
zverskima	zverski	Aopnpi	656
znalačkim	znalački	Aopnpi	656
znalačkima	znalački	Aopnpi	656
životinjskim	životinjski	Aopnpi	656
zverskim	zverski	Aopnpl	662
zverskima	zverski	Aopnpl	662
znalačkim	znalački	Aopnpl	662
znalačkima	znalački	Aopnpl	662
životinjskim	životinjski	Aopnpl	662
zverska	zverski	Aopnpn	328
znalačka	znalački	Aopnpn	328
životinjska	životinjski	Aopnpn	328
ženska	ženski	Aopnpn	328
zemaljska	zemaljski	Aopnpn	328
zverska	zverski	Aopnpv	328
znalačka	znalački	Aopnpv	328
životinjska	životinjski	Aopnpv	328
ženska	ženski	Aopnpv	328
zemaljska	zemaljski	Aopnpv	328
zversko	zverski	Aopnsa	329
znalačko	znalački	Aopnsa	329
životinjsko	životinjski	Aopnsa	329
žensko	ženski	Aopnsa	329
zemaljsko	zemaljski	Aopnsa	329
zversku	zverski	Aopnsdn	328
znalačku	znalački	Aopnsdn	328
životinjsku	životinjski	Aopnsdn	328
žensku	ženski	Aopnsdn	328
zemaljsku	zemaljski	Aopnsdn	328
zverskom	zverski	Aopnsdy	971
zverskomu	zverski	Aopnsdy	971
zverskome	zverski	Aopnsdy	971
znalačkom	znalački	Aopnsdy	971
znalačkomu	znalački	Aopnsdy	971
okeanijskog	okeanijski	Aopnsg	2
muzičkog	muzički	Aopnsg	2
zverska	zverski	Aopnsgn	328
znalačka	znalački	Aopnsgn	328
životinjska	životinjski	Aopnsgn	328
ženska	ženski	Aopnsgn	328
zemaljska	zemaljski	Aopnsgn	328
zverskog	zverski	Aopnsgy	658
zverskoga	zverski	Aopnsgy	658
znalačkog	znalački	Aopnsgy	658
znalačkoga	znalački	Aopnsgy	658
životinjskog	životinjski	Aopnsgy	658
zverskim	zverski	Aopnsi	328
znalačkim	znalački	Aopnsi	328
životinjskim	životinjski	Aopnsi	328
ženskim	ženski	Aopnsi	328
zemaljskim	zemaljski	Aopnsi	328
zversku	zverski	Aopnsln	328
znalačku	znalački	Aopnsln	328
životinjsku	životinjski	Aopnsln	328
žensku	ženski	Aopnsln	328
zemaljsku	zemaljski	Aopnsln	328
zverskom	zverski	Aopnsly	971
zverskomu	zverski	Aopnsly	971
zverskome	zverski	Aopnsly	971
znalačkom	znalački	Aopnsly	971
znalačkomu	znalački	Aopnsly	971
zversko	zverski	Aopnsn	329
znalačko	znalački	Aopnsn	329
životinjsko	životinjski	Aopnsn	329
žensko	ženski	Aopnsn	329
zemaljsko	zemaljski	Aopnsn	329
zversko	zverski	Aopnsv	328
znalačko	znalački	Aopnsv	328
životinjsko	životinjski	Aopnsv	328
žensko	ženski	Aopnsv	328
zemaljsko	zemaljski	Aopnsv	328
svoje	svoj	As-fsg	2
evroazijske	evroazijska	As-fsg	2
Jehovine	Jehovin	As-mpa--n	1
spikerov	spikerov	As-msn--n	1
ženine	ženin	Aspfpa	41
zemljine	zemljin	Aspfpa	41
zatvorenikove	zatvorenikov	Aspfpa	41
Vinstonove	Vinstonov	Aspfpa	41
tigrove	tigrov	Aspfpa	41
ženinim	ženin	Aspfpd	82
ženinima	ženin	Aspfpd	82
zemljinim	zemljin	Aspfpd	82
zemljinima	zemljin	Aspfpd	82
zatvorenikovim	zatvorenikov	Aspfpd	82
žlelzničkih	željeznički	Aspfpg	42
ženinih	ženin	Aspfpg	42
zemljinih	zemljin	Aspfpg	42
zatvorenikovih	zatvorenikov	Aspfpg	42
Vinstonovih	Vinstonov	Aspfpg	42
ženinim	ženin	Aspfpi	82
ženinima	ženin	Aspfpi	82
zemljinim	zemljin	Aspfpi	82
zemljinima	zemljin	Aspfpi	82
zatvorenikovim	zatvorenikov	Aspfpi	82
ženinim	ženin	Aspfpl	83
ženinima	ženin	Aspfpl	83
zemljinim	zemljin	Aspfpl	83
zemljinima	zemljin	Aspfpl	83
zatvorenikovim	zatvorenikov	Aspfpl	83
ženine	ženin	Aspfpn	42
zemljine	zemljin	Aspfpn	42
zatvorenikove	zatvorenikov	Aspfpn	42
Vinstonove	Vinstonov	Aspfpn	42
tigrove	tigrov	Aspfpn	42
ženine	ženin	Aspfpv	41
zemljine	zemljin	Aspfpv	41
zatvorenikove	zatvorenikov	Aspfpv	41
Vinstonove	Vinstonov	Aspfpv	41
tigrove	tigrov	Aspfpv	41
ženinu	ženin	Aspfsa	42
zemljinu	zemljin	Aspfsa	42
zatvorenikovu	zatvorenikov	Aspfsa	42
Vinstonovu	Vinstonov	Aspfsa	42
tigrovu	tigrov	Aspfsa	42
ženinoj	ženin	Aspfsd	41
zemljinoj	zemljin	Aspfsd	41
zatvorenikovoj	zatvorenikov	Aspfsd	41
Vinstonovoj	Vinstonov	Aspfsd	41
tigrovoj	tigrov	Aspfsd	41
ženine	ženin	Aspfsg	44
zemljine	zemljin	Aspfsg	44
zatvorenikove	zatvorenikov	Aspfsg	44
Vinstonove	Vinstonov	Aspfsg	44
tigrove	tigrov	Aspfsg	44
Vinstonovih	Vinstonov	Aspfsg--n	1
ženinom	ženin	Aspfsi	42
zemljinom	zemljin	Aspfsi	42
zatvorenikovom	zatvorenikov	Aspfsi	42
Vinstonovom	Vinstonov	Aspfsi	42
tigrovom	tigrov	Aspfsi	42
ženinoj	ženin	Aspfsl	41
zemljinoj	zemljin	Aspfsl	41
zatvorenikovoj	zatvorenikov	Aspfsl	41
Vinstonovoj	Vinstonov	Aspfsl	41
tigrovoj	tigrov	Aspfsl	41
Ženina	ženin	Aspfsn	44
ženina	ženin	Aspfsn	44
zemljina	zemljin	Aspfsn	44
zatvorenikova	zatvorenikov	Aspfsn	44
Vinstonova	Vinstonov	Aspfsn	44
ženina	ženin	Aspfsv	41
zemljina	zemljin	Aspfsv	41
zatvorenikova	zatvorenikov	Aspfsv	41
Vinstonova	Vinstonov	Aspfsv	41
tigrova	tigrov	Aspfsv	41
ženine	ženin	Aspmpa	41
zemljine	zemljin	Aspmpa	41
zatvorenikove	zatvorenikov	Aspmpa	41
Vinstonove	Vinstonov	Aspmpa	41
tigrove	tigrov	Aspmpa	41
ženinim	ženin	Aspmpd	82
ženinima	ženin	Aspmpd	82
zemljinim	zemljin	Aspmpd	82
zemljinima	zemljin	Aspmpd	82
zatvorenikovim	zatvorenikov	Aspmpd	82
ženinih	ženin	Aspmpg	42
zemljinih	zemljin	Aspmpg	42
zatvorenikovih	zatvorenikov	Aspmpg	42
Vinstonovih	Vinstonov	Aspmpg	42
tigrovih	tigrov	Aspmpg	42
evroazijskih	evroazijski	Aspmpg--n	1
Parsonsovih	Parsonov	Aspmpgn	1
