01N010000000100	Nc---n	Noun common -Definiteness	Noun Type=common Definiteness=no
03A01030202000100	Afsfp-n	Adjective qualificative superlative feminine plural -Definiteness	Adjective Type=qualificative Degree=superlative Gender=feminine Number=plural Definiteness=no
03A01030202020200	Afsfpry	Adjective qualificative superlative feminine plural direct +Definiteness	Adjective Type=qualificative Degree=superlative Gender=feminine Number=plural Case=direct Definiteness=yes
03A01030202030200	Afsfpoy	Adjective qualificative superlative feminine plural oblique +Definiteness	Adjective Type=qualificative Degree=superlative Gender=feminine Number=plural Case=oblique Definiteness=yes
04P0101000101000000000000000001	Pp1-sn--------s	Pronoun personal first singular nominative strong	Pronoun Type=personal Person=first Number=singular Case=nominative Pronoun_Form=strong
04P0101000103000000000000000001	Pp1-sd--------s	Pronoun personal first singular dative strong	Pronoun Type=personal Person=first Number=singular Case=dative Pronoun_Form=strong
04P0101000103000000000000000002	Pp1-sd--------w	Pronoun personal first singular dative weak	Pronoun Type=personal Person=first Number=singular Case=dative Pronoun_Form=weak
04P0101000103000002000000000002	Pp1-sd--y-----w	Pronoun personal first singular dative +Clitic weak	Pronoun Type=personal Person=first Number=singular Case=dative Clitic=yes Pronoun_Form=weak
04P0101000104000000000000000001	Pp1-sa--------s	Pronoun personal first singular accusative strong	Pronoun Type=personal Person=first Number=singular Case=accusative Pronoun_Form=strong
04P0101000104000000000000000002	Pp1-sa--------w	Pronoun personal first singular accusative weak	Pronoun Type=personal Person=first Number=singular Case=accusative Pronoun_Form=weak
04P0101000104000002000000000002	Pp1-sa--y-----w	Pronoun personal first singular accusative +Clitic weak	Pronoun Type=personal Person=first Number=singular Case=accusative Clitic=yes Pronoun_Form=weak
04P0101000106000000000000000001	Pp1-sr--------s	Pronoun personal first singular direct strong	Pronoun Type=personal Person=first Number=singular Case=direct Pronoun_Form=strong
04P0101000203000000000000000001	Pp1-pd--------s	Pronoun personal first plural dative strong	Pronoun Type=personal Person=first Number=plural Case=dative Pronoun_Form=strong
04P0101000203000000000000000002	Pp1-pd--------w	Pronoun personal first plural dative weak	Pronoun Type=personal Person=first Number=plural Case=dative Pronoun_Form=weak
04P0101000203000002000000000002	Pp1-pd--y-----w	Pronoun personal first plural dative +Clitic weak	Pronoun Type=personal Person=first Number=plural Case=dative Clitic=yes Pronoun_Form=weak
04P0101000204000000000000000002	Pp1-pa--------w	Pronoun personal first plural accusative weak	Pronoun Type=personal Person=first Number=plural Case=accusative Pronoun_Form=weak
04P0101000204000002000000000002	Pp1-pa--y-----w	Pronoun personal first plural accusative +Clitic weak	Pronoun Type=personal Person=first Number=plural Case=accusative Clitic=yes Pronoun_Form=weak
04P0101000206000000000000000001	Pp1-pr--------s	Pronoun personal first plural direct strong	Pronoun Type=personal Person=first Number=plural Case=direct Pronoun_Form=strong
04P0102000000000000000000000001	Pp2-----------s	Pronoun personal second strong	Pronoun Type=personal Person=second Pronoun_Form=strong
04P0102000100000000000000000001	Pp2-s---------s	Pronoun personal second singular strong	Pronoun Type=personal Person=second Number=singular Pronoun_Form=strong
04P0102000101000000000000000001	Pp2-sn--------s	Pronoun personal second singular nominative strong	Pronoun Type=personal Person=second Number=singular Case=nominative Pronoun_Form=strong
04P0102000103000000000000000001	Pp2-sd--------s	Pronoun personal second singular dative strong	Pronoun Type=personal Person=second Number=singular Case=dative Pronoun_Form=strong
04P0102000103000000000000000002	Pp2-sd--------w	Pronoun personal second singular dative weak	Pronoun Type=personal Person=second Number=singular Case=dative Pronoun_Form=weak
04P0102000103000002000000000002	Pp2-sd--y-----w	Pronoun personal second singular dative +Clitic weak	Pronoun Type=personal Person=second Number=singular Case=dative Clitic=yes Pronoun_Form=weak
04P0102000104000000000000000001	Pp2-sa--------s	Pronoun personal second singular accusative strong	Pronoun Type=personal Person=second Number=singular Case=accusative Pronoun_Form=strong
04P0102000104000000000000000002	Pp2-sa--------w	Pronoun personal second singular accusative weak	Pronoun Type=personal Person=second Number=singular Case=accusative Pronoun_Form=weak
04P0102000104000002000000000002	Pp2-sa--y-----w	Pronoun personal second singular accusative +Clitic weak	Pronoun Type=personal Person=second Number=singular Case=accusative Clitic=yes Pronoun_Form=weak
04P0102000106000000000000000001	Pp2-sr--------s	Pronoun personal second singular direct strong	Pronoun Type=personal Person=second Number=singular Case=direct Pronoun_Form=strong
04P0102000107000000000000000001	Pp2-so--------s	Pronoun personal second singular oblique strong	Pronoun Type=personal Person=second Number=singular Case=oblique Pronoun_Form=strong
04P0102000203000000000000000001	Pp2-pd--------s	Pronoun personal second plural dative strong	Pronoun Type=personal Person=second Number=plural Case=dative Pronoun_Form=strong
04P0102000203000000000000000002	Pp2-pd--------w	Pronoun personal second plural dative weak	Pronoun Type=personal Person=second Number=plural Case=dative Pronoun_Form=weak
04P0102000203000002000000000002	Pp2-pd--y-----w	Pronoun personal second plural dative +Clitic weak	Pronoun Type=personal Person=second Number=plural Case=dative Clitic=yes Pronoun_Form=weak
04P0102000204000000000000000002	Pp2-pa--------w	Pronoun personal second plural accusative weak	Pronoun Type=personal Person=second Number=plural Case=accusative Pronoun_Form=weak
04P0102000204000002000000000002	Pp2-pa--y-----w	Pronoun personal second plural accusative +Clitic weak	Pronoun Type=personal Person=second Number=plural Case=accusative Clitic=yes Pronoun_Form=weak
04P0102000206000000000000000001	Pp2-pr--------s	Pronoun personal second plural direct strong	Pronoun Type=personal Person=second Number=plural Case=direct Pronoun_Form=strong
04P0103000103000000000000000002	Pp3-sd--------w	Pronoun personal third singular dative weak	Pronoun Type=personal Person=third Number=singular Case=dative Pronoun_Form=weak
04P0103000103000002000000000002	Pp3-sd--y-----w	Pronoun personal third singular dative +Clitic weak	Pronoun Type=personal Person=third Number=singular Case=dative Clitic=yes Pronoun_Form=weak
04P0103000106000000000000000001	Pp3-sr--------s	Pronoun personal third singular direct strong	Pronoun Type=personal Person=third Number=singular Case=direct Pronoun_Form=strong
04P0103000107000000000000000001	Pp3-so--------s	Pronoun personal third singular oblique strong	Pronoun Type=personal Person=third Number=singular Case=oblique Pronoun_Form=strong
04P0103000200000000000000000001	Pp3-p---------s	Pronoun personal third plural strong	Pronoun Type=personal Person=third Number=plural Pronoun_Form=strong
04P0103000203000000000000000002	Pp3-pd--------w	Pronoun personal third plural dative weak	Pronoun Type=personal Person=third Number=plural Case=dative Pronoun_Form=weak
04P0103000203000002000000000002	Pp3-pd--y-----w	Pronoun personal third plural dative +Clitic weak	Pronoun Type=personal Person=third Number=plural Case=dative Clitic=yes Pronoun_Form=weak
04P0103000207000000000000000001	Pp3-po--------s	Pronoun personal third plural oblique strong	Pronoun Type=personal Person=third Number=plural Case=oblique Pronoun_Form=strong
04P0103010100000000000000000001	Pp3ms---------s	Pronoun personal third masculine singular strong	Pronoun Type=personal Person=third Gender=masculine Number=singular Pronoun_Form=strong
04P0103010104000000000000000002	Pp3msa--------w	Pronoun personal third masculine singular accusative weak	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=accusative Pronoun_Form=weak
04P0103010104000002000000000002	Pp3msa--y-----w	Pronoun personal third masculine singular accusative +Clitic weak	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=accusative Clitic=yes Pronoun_Form=weak
04P0103010106000000000000000001	Pp3msr--------s	Pronoun personal third masculine singular direct strong	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=direct Pronoun_Form=strong
04P0103010106000002000000000001	Pp3msr--y-----s	Pronoun personal third masculine singular direct +Clitic strong	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=direct Clitic=yes Pronoun_Form=strong
04P0103010107000000000000000001	Pp3mso--------s	Pronoun personal third masculine singular oblique strong	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=oblique Pronoun_Form=strong
04P0103010204000000000000000002	Pp3mpa--------w	Pronoun personal third masculine plural accusative weak	Pronoun Type=personal Person=third Gender=masculine Number=plural Case=accusative Pronoun_Form=weak
04P0103010204000002000000000002	Pp3mpa--y-----w	Pronoun personal third masculine plural accusative +Clitic weak	Pronoun Type=personal Person=third Gender=masculine Number=plural Case=accusative Clitic=yes Pronoun_Form=weak
04P0103010206000000000000000001	Pp3mpr--------s	Pronoun personal third masculine plural direct strong	Pronoun Type=personal Person=third Gender=masculine Number=plural Case=direct Pronoun_Form=strong
04P0103010206000002000000000001	Pp3mpr--y-----s	Pronoun personal third masculine plural direct +Clitic strong	Pronoun Type=personal Person=third Gender=masculine Number=plural Case=direct Clitic=yes Pronoun_Form=strong
04P0103010207000000000000000001	Pp3mpo--------s	Pronoun personal third masculine plural oblique strong	Pronoun Type=personal Person=third Gender=masculine Number=plural Case=oblique Pronoun_Form=strong
04P0103020100000000000000000001	Pp3fs---------s	Pronoun personal third feminine singular strong	Pronoun Type=personal Person=third Gender=feminine Number=singular Pronoun_Form=strong
04P0103020104000000000000000002	Pp3fsa--------w	Pronoun personal third feminine singular accusative weak	Pronoun Type=personal Person=third Gender=feminine Number=singular Case=accusative Pronoun_Form=weak
04P0103020104000002000000000002	Pp3fsa--y-----w	Pronoun personal third feminine singular accusative +Clitic weak	Pronoun Type=personal Person=third Gender=feminine Number=singular Case=accusative Clitic=yes Pronoun_Form=weak
04P0103020106000000000000000001	Pp3fsr--------s	Pronoun personal third feminine singular direct strong	Pronoun Type=personal Person=third Gender=feminine Number=singular Case=direct Pronoun_Form=strong
04P0103020106000002000000000001	Pp3fsr--y-----s	Pronoun personal third feminine singular direct +Clitic strong	Pronoun Type=personal Person=third Gender=feminine Number=singular Case=direct Clitic=yes Pronoun_Form=strong
04P0103020107000000000000000001	Pp3fso--------s	Pronoun personal third feminine singular oblique strong	Pronoun Type=personal Person=third Gender=feminine Number=singular Case=oblique Pronoun_Form=strong
04P0103020204000000000000000002	Pp3fpa--------w	Pronoun personal third feminine plural accusative weak	Pronoun Type=personal Person=third Gender=feminine Number=plural Case=accusative Pronoun_Form=weak
04P0103020204000002000000000002	Pp3fpa--y-----w	Pronoun personal third feminine plural accusative +Clitic weak	Pronoun Type=personal Person=third Gender=feminine Number=plural Case=accusative Clitic=yes Pronoun_Form=weak
04P0103020206000000000000000001	Pp3fpr--------s	Pronoun personal third feminine plural direct strong	Pronoun Type=personal Person=third Gender=feminine Number=plural Case=direct Pronoun_Form=strong
04P0103020206000002000000000001	Pp3fpr--y-----s	Pronoun personal third feminine plural direct +Clitic strong	Pronoun Type=personal Person=third Gender=feminine Number=plural Case=direct Clitic=yes Pronoun_Form=strong
04P0103020207000000000000000001	Pp3fpo--------s	Pronoun personal third feminine plural oblique strong	Pronoun Type=personal Person=third Gender=feminine Number=plural Case=oblique Pronoun_Form=strong
04P0203000207000000000000000000	Pd3-po	Pronoun demonstrative third plural oblique	Pronoun Type=demonstrative Person=third Number=plural Case=oblique
04P0203010106000000000000000000	Pd3msr	Pronoun demonstrative third masculine singular direct	Pronoun Type=demonstrative Person=third Gender=masculine Number=singular Case=direct
04P0203010106000002000000000000	Pd3msr--y	Pronoun demonstrative third masculine singular direct +Clitic	Pronoun Type=demonstrative Person=third Gender=masculine Number=singular Case=direct Clitic=yes
04P0203010107000000000000000000	Pd3mso	Pronoun demonstrative third masculine singular oblique	Pronoun Type=demonstrative Person=third Gender=masculine Number=singular Case=oblique
04P0203010206000000000000000000	Pd3mpr	Pronoun demonstrative third masculine plural direct	Pronoun Type=demonstrative Person=third Gender=masculine Number=plural Case=direct
04P0203010206000002000000000000	Pd3mpr--y	Pronoun demonstrative third masculine plural direct +Clitic	Pronoun Type=demonstrative Person=third Gender=masculine Number=plural Case=direct Clitic=yes
04P0203010207000000000000000000	Pd3mpo	Pronoun demonstrative third masculine plural oblique	Pronoun Type=demonstrative Person=third Gender=masculine Number=plural Case=oblique
04P0203020106000000000000000000	Pd3fsr	Pronoun demonstrative third feminine singular direct	Pronoun Type=demonstrative Person=third Gender=feminine Number=singular Case=direct
04P0203020106000002000000000000	Pd3fsr--y	Pronoun demonstrative third feminine singular direct +Clitic	Pronoun Type=demonstrative Person=third Gender=feminine Number=singular Case=direct Clitic=yes
04P0203020107000000000000000000	Pd3fso	Pronoun demonstrative third feminine singular oblique	Pronoun Type=demonstrative Person=third Gender=feminine Number=singular Case=oblique
04P0203020206000000000000000000	Pd3fpr	Pronoun demonstrative third feminine plural direct	Pronoun Type=demonstrative Person=third Gender=feminine Number=plural Case=direct
04P0203020206000002000000000000	Pd3fpr--y	Pronoun demonstrative third feminine plural direct +Clitic	Pronoun Type=demonstrative Person=third Gender=feminine Number=plural Case=direct Clitic=yes
04P0203020207000000000000000000	Pd3fpo	Pronoun demonstrative third feminine plural oblique	Pronoun Type=demonstrative Person=third Gender=feminine Number=plural Case=oblique
04P0303000000000000000000000000	Pi3	Pronoun indefinite third	Pronoun Type=indefinite Person=third
04P0303000006000000000000000000	Pi3--r	Pronoun indefinite third direct	Pronoun Type=indefinite Person=third Case=direct
04P0303000106000000000000000000	Pi3-sr	Pronoun indefinite third singular direct	Pronoun Type=indefinite Person=third Number=singular Case=direct
04P0303000107000000000000000000	Pi3-so	Pronoun indefinite third singular oblique	Pronoun Type=indefinite Person=third Number=singular Case=oblique
04P0303000207000000000000000000	Pi3-po	Pronoun indefinite third plural oblique	Pronoun Type=indefinite Person=third Number=plural Case=oblique
04P0303010106000000000000000000	Pi3msr	Pronoun indefinite third masculine singular direct	Pronoun Type=indefinite Person=third Gender=masculine Number=singular Case=direct
04P0303010106000002000000000000	Pi3msr--y	Pronoun indefinite third masculine singular direct +Clitic	Pronoun Type=indefinite Person=third Gender=masculine Number=singular Case=direct Clitic=yes
04P0303010107000000000000000000	Pi3mso	Pronoun indefinite third masculine singular oblique	Pronoun Type=indefinite Person=third Gender=masculine Number=singular Case=oblique
04P0303010206000000000000000000	Pi3mpr	Pronoun indefinite third masculine plural direct	Pronoun Type=indefinite Person=third Gender=masculine Number=plural Case=direct
04P0303020106000000000000000000	Pi3fsr	Pronoun indefinite third feminine singular direct	Pronoun Type=indefinite Person=third Gender=feminine Number=singular Case=direct
04P0303020107000000000000000000	Pi3fso	Pronoun indefinite third feminine singular oblique	Pronoun Type=indefinite Person=third Gender=feminine Number=singular Case=oblique
04P0303020206000000000000000000	Pi3fpr	Pronoun indefinite third feminine plural direct	Pronoun Type=indefinite Person=third Gender=feminine Number=plural Case=direct
04P0401010100010000000000000000	Ps1ms-s	Pronoun possessive first masculine singular singular	Pronoun Type=possessive Person=first Gender=masculine Number=singular Owner_Number=singular
04P0401010100020000000000000000	Ps1ms-p	Pronoun possessive first masculine singular plural	Pronoun Type=possessive Person=first Gender=masculine Number=singular Owner_Number=plural
04P0401010200010000000000000000	Ps1mp-s	Pronoun possessive first masculine plural singular	Pronoun Type=possessive Person=first Gender=masculine Number=plural Owner_Number=singular
04P0401010200020000000000000000	Ps1mp-p	Pronoun possessive first masculine plural plural	Pronoun Type=possessive Person=first Gender=masculine Number=plural Owner_Number=plural
04P0401020106010000000000000000	Ps1fsrs	Pronoun possessive first feminine singular direct singular	Pronoun Type=possessive Person=first Gender=feminine Number=singular Case=direct Owner_Number=singular
04P0401020106020000000000000000	Ps1fsrp	Pronoun possessive first feminine singular direct plural	Pronoun Type=possessive Person=first Gender=feminine Number=singular Case=direct Owner_Number=plural
04P0401020200010000000000000000	Ps1fp-s	Pronoun possessive first feminine plural singular	Pronoun Type=possessive Person=first Gender=feminine Number=plural Owner_Number=singular
04P0401020200020000000000000000	Ps1fp-p	Pronoun possessive first feminine plural plural	Pronoun Type=possessive Person=first Gender=feminine Number=plural Owner_Number=plural
04P0402010100010000000000000000	Ps2ms-s	Pronoun possessive second masculine singular singular	Pronoun Type=possessive Person=second Gender=masculine Number=singular Owner_Number=singular
04P0402010100020000000000000000	Ps2ms-p	Pronoun possessive second masculine singular plural	Pronoun Type=possessive Person=second Gender=masculine Number=singular Owner_Number=plural
04P0402010106010002000000000000	Ps2msrs-y	Pronoun possessive second masculine singular direct singular +Clitic	Pronoun Type=possessive Person=second Gender=masculine Number=singular Case=direct Owner_Number=singular Clitic=yes
04P0402010200010000000000000000	Ps2mp-s	Pronoun possessive second masculine plural singular	Pronoun Type=possessive Person=second Gender=masculine Number=plural Owner_Number=singular
04P0402010200020000000000000000	Ps2mp-p	Pronoun possessive second masculine plural plural	Pronoun Type=possessive Person=second Gender=masculine Number=plural Owner_Number=plural
04P0402020106010000000000000000	Ps2fsrs	Pronoun possessive second feminine singular direct singular	Pronoun Type=possessive Person=second Gender=feminine Number=singular Case=direct Owner_Number=singular
04P0402020106020000000000000000	Ps2fsrp	Pronoun possessive second feminine singular direct plural	Pronoun Type=possessive Person=second Gender=feminine Number=singular Case=direct Owner_Number=plural
04P0402020200010000000000000000	Ps2fp-s	Pronoun possessive second feminine plural singular	Pronoun Type=possessive Person=second Gender=feminine Number=plural Owner_Number=singular
04P0402020200020000000000000000	Ps2fp-p	Pronoun possessive second feminine plural plural	Pronoun Type=possessive Person=second Gender=feminine Number=plural Owner_Number=plural
04P0403010100010000000000000000	Ps3ms-s	Pronoun possessive third masculine singular singular	Pronoun Type=possessive Person=third Gender=masculine Number=singular Owner_Number=singular
04P0403010200010000000000000000	Ps3mp-s	Pronoun possessive third masculine plural singular	Pronoun Type=possessive Person=third Gender=masculine Number=plural Owner_Number=singular
04P0403020106010000000000000000	Ps3fsrs	Pronoun possessive third feminine singular direct singular	Pronoun Type=possessive Person=third Gender=feminine Number=singular Case=direct Owner_Number=singular
04P0403020200010000000000000000	Ps3fp-s	Pronoun possessive third feminine plural singular	Pronoun Type=possessive Person=third Gender=feminine Number=plural Owner_Number=singular
04P0503000003000000000000000001	Px3--d--------s	Pronoun reflexive third dative strong	Pronoun Type=reflexive Person=third Case=dative Pronoun_Form=strong
04P0503000003000000000000000002	Px3--d--------w	Pronoun reflexive third dative weak	Pronoun Type=reflexive Person=third Case=dative Pronoun_Form=weak
04P0503000003000002000000000002	Px3--d--y-----w	Pronoun reflexive third dative +Clitic weak	Pronoun Type=reflexive Person=third Case=dative Clitic=yes Pronoun_Form=weak
04P0503000004000000000000000001	Px3--a--------s	Pronoun reflexive third accusative strong	Pronoun Type=reflexive Person=third Case=accusative Pronoun_Form=strong
04P0503000004000000000000000002	Px3--a--------w	Pronoun reflexive third accusative weak	Pronoun Type=reflexive Person=third Case=accusative Pronoun_Form=weak
04P0503000004000002000000000002	Px3--a--y-----w	Pronoun reflexive third accusative +Clitic weak	Pronoun Type=reflexive Person=third Case=accusative Clitic=yes Pronoun_Form=weak
04P0603000106000000000000000000	Pz3-sr	Pronoun negative third singular direct	Pronoun Type=negative Person=third Number=singular Case=direct
04P0603000107000000000000000000	Pz3-so	Pronoun negative third singular oblique	Pronoun Type=negative Person=third Number=singular Case=oblique
04P0603000207000000000000000000	Pz3-po	Pronoun negative third plural oblique	Pronoun Type=negative Person=third Number=plural Case=oblique
04P0603010106000000000000000000	Pz3msr	Pronoun negative third masculine singular direct	Pronoun Type=negative Person=third Gender=masculine Number=singular Case=direct
04P0603010107000000000000000000	Pz3mso	Pronoun negative third masculine singular oblique	Pronoun Type=negative Person=third Gender=masculine Number=singular Case=oblique
04P0603010206000000000000000000	Pz3mpr	Pronoun negative third masculine plural direct	Pronoun Type=negative Person=third Gender=masculine Number=plural Case=direct
04P0603020106000000000000000000	Pz3fsr	Pronoun negative third feminine singular direct	Pronoun Type=negative Person=third Gender=feminine Number=singular Case=direct
04P0603020107000000000000000000	Pz3fso	Pronoun negative third feminine singular oblique	Pronoun Type=negative Person=third Gender=feminine Number=singular Case=oblique
04P0603020206000000000000000000	Pz3fpr	Pronoun negative third feminine plural direct	Pronoun Type=negative Person=third Gender=feminine Number=plural Case=direct
04P0703000006000000000000000000	Pw3--r	Pronoun int-rel third direct	Pronoun Type=int-rel Person=third Case=direct
04P0703000107000000000000000000	Pw3-so	Pronoun int-rel third singular oblique	Pronoun Type=int-rel Person=third Number=singular Case=oblique
04P0703000207000000000000000000	Pw3-po	Pronoun int-rel third plural oblique	Pronoun Type=int-rel Person=third Number=plural Case=oblique
04P0703010106000000000000000000	Pw3msr	Pronoun int-rel third masculine singular direct	Pronoun Type=int-rel Person=third Gender=masculine Number=singular Case=direct
04P0703010107000000000000000000	Pw3mso	Pronoun int-rel third masculine singular oblique	Pronoun Type=int-rel Person=third Gender=masculine Number=singular Case=oblique
04P0703010206000000000000000000	Pw3mpr	Pronoun int-rel third masculine plural direct	Pronoun Type=int-rel Person=third Gender=masculine Number=plural Case=direct
04P0703020106000000000000000000	Pw3fsr	Pronoun int-rel third feminine singular direct	Pronoun Type=int-rel Person=third Gender=feminine Number=singular Case=direct
04P0703020107000000000000000000	Pw3fso	Pronoun int-rel third feminine singular oblique	Pronoun Type=int-rel Person=third Gender=feminine Number=singular Case=oblique
04P0703020206000000000000000000	Pw3fpr	Pronoun int-rel third feminine plural direct	Pronoun Type=int-rel Person=third Gender=feminine Number=plural Case=direct
05D010300020200000001	Dd3-po---e	Determiner demonstrative third plural oblique prenomin	Determiner Type=demonstrative Person=third Number=plural Case=oblique Modific_Type=prenomin
05D010300020200000002	Dd3-po---o	Determiner demonstrative third plural oblique postnomin	Determiner Type=demonstrative Person=third Number=plural Case=oblique Modific_Type=postnomin
05D010301010100000000	Dd3msr	Determiner demonstrative third masculine singular direct	Determiner Type=demonstrative Person=third Gender=masculine Number=singular Case=direct
05D010301010100000001	Dd3msr---e	Determiner demonstrative third masculine singular direct prenomin	Determiner Type=demonstrative Person=third Gender=masculine Number=singular Case=direct Modific_Type=prenomin
05D010301010100000002	Dd3msr---o	Determiner demonstrative third masculine singular direct postnomin	Determiner Type=demonstrative Person=third Gender=masculine Number=singular Case=direct Modific_Type=postnomin
05D010301010100000202	Dd3msr--yo	Determiner demonstrative third masculine singular direct +Clitic postnomin	Determiner Type=demonstrative Person=third Gender=masculine Number=singular Case=direct Clitic=yes Modific_Type=postnomin
05D010301010200000000	Dd3mso	Determiner demonstrative third masculine singular oblique	Determiner Type=demonstrative Person=third Gender=masculine Number=singular Case=oblique
05D010301010200000001	Dd3mso---e	Determiner demonstrative third masculine singular oblique prenomin	Determiner Type=demonstrative Person=third Gender=masculine Number=singular Case=oblique Modific_Type=prenomin
05D010301010200000002	Dd3mso---o	Determiner demonstrative third masculine singular oblique postnomin	Determiner Type=demonstrative Person=third Gender=masculine Number=singular Case=oblique Modific_Type=postnomin
05D010301020100000000	Dd3mpr	Determiner demonstrative third masculine plural direct	Determiner Type=demonstrative Person=third Gender=masculine Number=plural Case=direct
05D010301020100000001	Dd3mpr---e	Determiner demonstrative third masculine plural direct prenomin	Determiner Type=demonstrative Person=third Gender=masculine Number=plural Case=direct Modific_Type=prenomin
05D010301020100000002	Dd3mpr---o	Determiner demonstrative third masculine plural direct postnomin	Determiner Type=demonstrative Person=third Gender=masculine Number=plural Case=direct Modific_Type=postnomin
05D010301020100000202	Dd3mpr--yo	Determiner demonstrative third masculine plural direct +Clitic postnomin	Determiner Type=demonstrative Person=third Gender=masculine Number=plural Case=direct Clitic=yes Modific_Type=postnomin
05D010301020200000000	Dd3mpo	Determiner demonstrative third masculine plural oblique	Determiner Type=demonstrative Person=third Gender=masculine Number=plural Case=oblique
05D010302010100000000	Dd3fsr	Determiner demonstrative third feminine singular direct	Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=direct
05D010302010100000001	Dd3fsr---e	Determiner demonstrative third feminine singular direct prenomin	Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=direct Modific_Type=prenomin
05D010302010100000002	Dd3fsr---o	Determiner demonstrative third feminine singular direct postnomin	Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=direct Modific_Type=postnomin
05D010302010100000201	Dd3fsr--ye	Determiner demonstrative third feminine singular direct +Clitic prenomin	Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=direct Clitic=yes Modific_Type=prenomin
05D010302010100000202	Dd3fsr--yo	Determiner demonstrative third feminine singular direct +Clitic postnomin	Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=direct Clitic=yes Modific_Type=postnomin
05D010302010200000000	Dd3fso	Determiner demonstrative third feminine singular oblique	Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=oblique
05D010302010200000001	Dd3fso---e	Determiner demonstrative third feminine singular oblique prenomin	Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=oblique Modific_Type=prenomin
05D010302010200000002	Dd3fso---o	Determiner demonstrative third feminine singular oblique postnomin	Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=oblique Modific_Type=postnomin
05D010302020100000000	Dd3fpr	Determiner demonstrative third feminine plural direct	Determiner Type=demonstrative Person=third Gender=feminine Number=plural Case=direct
05D010302020100000001	Dd3fpr---e	Determiner demonstrative third feminine plural direct prenomin	Determiner Type=demonstrative Person=third Gender=feminine Number=plural Case=direct Modific_Type=prenomin
05D010302020100000002	Dd3fpr---o	Determiner demonstrative third feminine plural direct postnomin	Determiner Type=demonstrative Person=third Gender=feminine Number=plural Case=direct Modific_Type=postnomin
05D010302020100000200	Dd3fpr--y	Determiner demonstrative third feminine plural direct +Clitic	Determiner Type=demonstrative Person=third Gender=feminine Number=plural Case=direct Clitic=yes
05D010302020200000000	Dd3fpo	Determiner demonstrative third feminine plural oblique	Determiner Type=demonstrative Person=third Gender=feminine Number=plural Case=oblique
05D020300000000000000	Di3	Determiner indefinite third	Determiner Type=indefinite Person=third
05D020300000000000001	Di3------e	Determiner indefinite third prenomin	Determiner Type=indefinite Person=third Modific_Type=prenomin
05D020300000000000200	Di3-----y	Determiner indefinite third +Clitic	Determiner Type=indefinite Person=third Clitic=yes
05D020300000100000000	Di3--r	Determiner indefinite third direct	Determiner Type=indefinite Person=third Case=direct
05D020300000100000001	Di3--r---e	Determiner indefinite third direct prenomin	Determiner Type=indefinite Person=third Case=direct Modific_Type=prenomin
05D020300010000000001	Di3-s----e	Determiner indefinite third singular prenomin	Determiner Type=indefinite Person=third Number=singular Modific_Type=prenomin
05D020300010100000000	Di3-sr	Determiner indefinite third singular direct	Determiner Type=indefinite Person=third Number=singular Case=direct
05D020300010100000001	Di3-sr---e	Determiner indefinite third singular direct prenomin	Determiner Type=indefinite Person=third Number=singular Case=direct Modific_Type=prenomin
05D020300010100000200	Di3-sr--y	Determiner indefinite third singular direct +Clitic	Determiner Type=indefinite Person=third Number=singular Case=direct Clitic=yes
05D020300020200000000	Di3-po	Determiner indefinite third plural oblique	Determiner Type=indefinite Person=third Number=plural Case=oblique
05D020300020200000001	Di3-po---e	Determiner indefinite third plural oblique prenomin	Determiner Type=indefinite Person=third Number=plural Case=oblique Modific_Type=prenomin
05D020301010000000000	Di3ms	Determiner indefinite third masculine singular	Determiner Type=indefinite Person=third Gender=masculine Number=singular
05D020301010100000000	Di3msr	Determiner indefinite third masculine singular direct	Determiner Type=indefinite Person=third Gender=masculine Number=singular Case=direct
05D020301010100000001	Di3msr---e	Determiner indefinite third masculine singular direct prenomin	Determiner Type=indefinite Person=third Gender=masculine Number=singular Case=direct Modific_Type=prenomin
05D020301010100000200	Di3msr--y	Determiner indefinite third masculine singular direct +Clitic	Determiner Type=indefinite Person=third Gender=masculine Number=singular Case=direct Clitic=yes
05D020301010200000001	Di3mso---e	Determiner indefinite third masculine singular oblique prenomin	Determiner Type=indefinite Person=third Gender=masculine Number=singular Case=oblique Modific_Type=prenomin
05D020301020000000000	Di3mp	Determiner indefinite third masculine plural	Determiner Type=indefinite Person=third Gender=masculine Number=plural
05D020301020100000000	Di3mpr	Determiner indefinite third masculine plural direct	Determiner Type=indefinite Person=third Gender=masculine Number=plural Case=direct
05D020301020100000001	Di3mpr---e	Determiner indefinite third masculine plural direct prenomin	Determiner Type=indefinite Person=third Gender=masculine Number=plural Case=direct Modific_Type=prenomin
