01N01000000	Nc	Noun common	Noun Type=common
02V0303030000000102000000	Vocs---ay	Verb modal conditional past active +Negative	Verb Type=modal VForm=conditional Tense=past Voice=active Negative=yes
02V0303030000000201000000	Vocs---pn	Verb modal conditional past passive -Negative	Verb Type=modal VForm=conditional Tense=past Voice=passive Negative=no
02V0303030000000202000000	Vocs---py	Verb modal conditional past passive +Negative	Verb Type=modal VForm=conditional Tense=past Voice=passive Negative=yes
02V0303030101000101000000	Vocs1s-an	Verb modal conditional past first singular active -Negative	Verb Type=modal VForm=conditional Tense=past Person=first Number=singular Voice=active Negative=no
02V0303030102000101000000	Vocs1p-an	Verb modal conditional past first plural active -Negative	Verb Type=modal VForm=conditional Tense=past Person=first Number=plural Voice=active Negative=no
02V0303030201000101000000	Vocs2s-an	Verb modal conditional past second singular active -Negative	Verb Type=modal VForm=conditional Tense=past Person=second Number=singular Voice=active Negative=no
02V0303030202000101000000	Vocs2p-an	Verb modal conditional past second plural active -Negative	Verb Type=modal VForm=conditional Tense=past Person=second Number=plural Voice=active Negative=no
02V0303030301000101000000	Vocs3s-an	Verb modal conditional past third singular active -Negative	Verb Type=modal VForm=conditional Tense=past Person=third Number=singular Voice=active Negative=no
02V0303030302000101000000	Vocs3p-an	Verb modal conditional past third plural active -Negative	Verb Type=modal VForm=conditional Tense=past Person=third Number=plural Voice=active Negative=no
02V0304000000000000000000	Von	Verb modal infinitive	Verb Type=modal VForm=infinitive
02V0305010000000100000000	Vopp---a	Verb modal participle present active	Verb Type=modal VForm=participle Tense=present Voice=active
02V0305010000000200000000	Vopp---p	Verb modal participle present passive	Verb Type=modal VForm=participle Tense=present Voice=passive
02V0305030000000100000000	Vops---a	Verb modal participle past active	Verb Type=modal VForm=participle Tense=past Voice=active
02V0305030000000200000000	Vops---p	Verb modal participle past passive	Verb Type=modal VForm=participle Tense=past Voice=passive
02V0306000000000000000000	Vog	Verb modal gerund	Verb Type=modal VForm=gerund
02V0307000000000100000001	Vou----a---x	Verb modal supine active illative	Verb Type=modal VForm=supine Voice=active Case=illative
02V0307000000000100000002	Vou----a---2	Verb modal supine active inessive	Verb Type=modal VForm=supine Voice=active Case=inessive
02V0307000000000100000003	Vou----a---e	Verb modal supine active elative	Verb Type=modal VForm=supine Voice=active Case=elative
02V0307000000000100000004	Vou----a---4	Verb modal supine active translative	Verb Type=modal VForm=supine Voice=active Case=translative
02V0307000000000100000005	Vou----a---5	Verb modal supine active abessive	Verb Type=modal VForm=supine Voice=active Case=abessive
02V0308010000000101000000	Voqp---an	Verb modal quotative present active -Negative	Verb Type=modal VForm=quotative Tense=present Voice=active Negative=no
02V0308010000000102000000	Voqp---ay	Verb modal quotative present active +Negative	Verb Type=modal VForm=quotative Tense=present Voice=active Negative=yes
02V0308010000000201000000	Voqp---pn	Verb modal quotative present passive -Negative	Verb Type=modal VForm=quotative Tense=present Voice=passive Negative=no
02V0308010000000202000000	Voqp---py	Verb modal quotative present passive +Negative	Verb Type=modal VForm=quotative Tense=present Voice=passive Negative=yes
03A0001000000	A-p	Adjective positive	Adjective Degree=positive
03A0001000101	A-p-sn	Adjective positive singular nominative	Adjective Degree=positive Number=singular Case=nominative
03A0001000102	A-p-sg	Adjective positive singular genitive	Adjective Degree=positive Number=singular Case=genitive
03A0001000103	A-p-s1	Adjective positive singular partitive	Adjective Degree=positive Number=singular Case=partitive
03A0001000104	A-p-sx	Adjective positive singular illative	Adjective Degree=positive Number=singular Case=illative
03A0001000105	A-p-s2	Adjective positive singular inessive	Adjective Degree=positive Number=singular Case=inessive
03A0001000106	A-p-se	Adjective positive singular elative	Adjective Degree=positive Number=singular Case=elative
03A0001000107	A-p-st	Adjective positive singular allative	Adjective Degree=positive Number=singular Case=allative
03A0001000108	A-p-s3	Adjective positive singular adessive	Adjective Degree=positive Number=singular Case=adessive
03A0001000109	A-p-sb	Adjective positive singular ablative	Adjective Degree=positive Number=singular Case=ablative
03A0001000110	A-p-s4	Adjective positive singular translative	Adjective Degree=positive Number=singular Case=translative
03A0001000111	A-p-s9	Adjective positive singular terminative	Adjective Degree=positive Number=singular Case=terminative
03A0001000112	A-p-sw	Adjective positive singular essive	Adjective Degree=positive Number=singular Case=essive
03A0001000113	A-p-s5	Adjective positive singular abessive	Adjective Degree=positive Number=singular Case=abessive
03A0001000114	A-p-sk	Adjective positive singular komitative	Adjective Degree=positive Number=singular Case=komitative
03A0001000115	A-p-s7	Adjective positive singular aditive	Adjective Degree=positive Number=singular Case=aditive
03A0001000201	A-p-pn	Adjective positive plural nominative	Adjective Degree=positive Number=plural Case=nominative
03A0001000202	A-p-pg	Adjective positive plural genitive	Adjective Degree=positive Number=plural Case=genitive
03A0001000203	A-p-p1	Adjective positive plural partitive	Adjective Degree=positive Number=plural Case=partitive
03A0001000204	A-p-px	Adjective positive plural illative	Adjective Degree=positive Number=plural Case=illative
03A0001000205	A-p-p2	Adjective positive plural inessive	Adjective Degree=positive Number=plural Case=inessive
03A0001000206	A-p-pe	Adjective positive plural elative	Adjective Degree=positive Number=plural Case=elative
03A0001000207	A-p-pt	Adjective positive plural allative	Adjective Degree=positive Number=plural Case=allative
03A0001000208	A-p-p3	Adjective positive plural adessive	Adjective Degree=positive Number=plural Case=adessive
03A0001000209	A-p-pb	Adjective positive plural ablative	Adjective Degree=positive Number=plural Case=ablative
03A0001000210	A-p-p4	Adjective positive plural translative	Adjective Degree=positive Number=plural Case=translative
03A0001000211	A-p-p9	Adjective positive plural terminative	Adjective Degree=positive Number=plural Case=terminative
03A0001000212	A-p-pw	Adjective positive plural essive	Adjective Degree=positive Number=plural Case=essive
03A0001000214	A-p-pk	Adjective positive plural komitative	Adjective Degree=positive Number=plural Case=komitative
03A0002000101	A-c-sn	Adjective comparative singular nominative	Adjective Degree=comparative Number=singular Case=nominative
03A0002000102	A-c-sg	Adjective comparative singular genitive	Adjective Degree=comparative Number=singular Case=genitive
03A0002000103	A-c-s1	Adjective comparative singular partitive	Adjective Degree=comparative Number=singular Case=partitive
03A0002000104	A-c-sx	Adjective comparative singular illative	Adjective Degree=comparative Number=singular Case=illative
03A0002000105	A-c-s2	Adjective comparative singular inessive	Adjective Degree=comparative Number=singular Case=inessive
03A0002000106	A-c-se	Adjective comparative singular elative	Adjective Degree=comparative Number=singular Case=elative
03A0002000107	A-c-st	Adjective comparative singular allative	Adjective Degree=comparative Number=singular Case=allative
03A0002000108	A-c-s3	Adjective comparative singular adessive	Adjective Degree=comparative Number=singular Case=adessive
03A0002000109	A-c-sb	Adjective comparative singular ablative	Adjective Degree=comparative Number=singular Case=ablative
03A0002000110	A-c-s4	Adjective comparative singular translative	Adjective Degree=comparative Number=singular Case=translative
03A0002000112	A-c-sw	Adjective comparative singular essive	Adjective Degree=comparative Number=singular Case=essive
03A0002000113	A-c-s5	Adjective comparative singular abessive	Adjective Degree=comparative Number=singular Case=abessive
03A0002000114	A-c-sk	Adjective comparative singular komitative	Adjective Degree=comparative Number=singular Case=komitative
03A0002000201	A-c-pn	Adjective comparative plural nominative	Adjective Degree=comparative Number=plural Case=nominative
03A0002000202	A-c-pg	Adjective comparative plural genitive	Adjective Degree=comparative Number=plural Case=genitive
03A0002000203	A-c-p1	Adjective comparative plural partitive	Adjective Degree=comparative Number=plural Case=partitive
03A0002000204	A-c-px	Adjective comparative plural illative	Adjective Degree=comparative Number=plural Case=illative
03A0002000205	A-c-p2	Adjective comparative plural inessive	Adjective Degree=comparative Number=plural Case=inessive
03A0002000206	A-c-pe	Adjective comparative plural elative	Adjective Degree=comparative Number=plural Case=elative
03A0002000207	A-c-pt	Adjective comparative plural allative	Adjective Degree=comparative Number=plural Case=allative
03A0002000208	A-c-p3	Adjective comparative plural adessive	Adjective Degree=comparative Number=plural Case=adessive
03A0002000209	A-c-pb	Adjective comparative plural ablative	Adjective Degree=comparative Number=plural Case=ablative
03A0002000210	A-c-p4	Adjective comparative plural translative	Adjective Degree=comparative Number=plural Case=translative
03A0002000212	A-c-pw	Adjective comparative plural essive	Adjective Degree=comparative Number=plural Case=essive
03A0002000214	A-c-pk	Adjective comparative plural komitative	Adjective Degree=comparative Number=plural Case=komitative
03A0003000101	A-s-sn	Adjective superlative singular nominative	Adjective Degree=superlative Number=singular Case=nominative
03A0003000102	A-s-sg	Adjective superlative singular genitive	Adjective Degree=superlative Number=singular Case=genitive
03A0003000103	A-s-s1	Adjective superlative singular partitive	Adjective Degree=superlative Number=singular Case=partitive
03A0003000104	A-s-sx	Adjective superlative singular illative	Adjective Degree=superlative Number=singular Case=illative
03A0003000105	A-s-s2	Adjective superlative singular inessive	Adjective Degree=superlative Number=singular Case=inessive
03A0003000106	A-s-se	Adjective superlative singular elative	Adjective Degree=superlative Number=singular Case=elative
03A0003000107	A-s-st	Adjective superlative singular allative	Adjective Degree=superlative Number=singular Case=allative
03A0003000108	A-s-s3	Adjective superlative singular adessive	Adjective Degree=superlative Number=singular Case=adessive
03A0003000109	A-s-sb	Adjective superlative singular ablative	Adjective Degree=superlative Number=singular Case=ablative
03A0003000110	A-s-s4	Adjective superlative singular translative	Adjective Degree=superlative Number=singular Case=translative
03A0003000112	A-s-sw	Adjective superlative singular essive	Adjective Degree=superlative Number=singular Case=essive
03A0003000201	A-s-pn	Adjective superlative plural nominative	Adjective Degree=superlative Number=plural Case=nominative
03A0003000202	A-s-pg	Adjective superlative plural genitive	Adjective Degree=superlative Number=plural Case=genitive
03A0003000203	A-s-p1	Adjective superlative plural partitive	Adjective Degree=superlative Number=plural Case=partitive
03A0003000204	A-s-px	Adjective superlative plural illative	Adjective Degree=superlative Number=plural Case=illative
03A0003000205	A-s-p2	Adjective superlative plural inessive	Adjective Degree=superlative Number=plural Case=inessive
03A0003000206	A-s-pe	Adjective superlative plural elative	Adjective Degree=superlative Number=plural Case=elative
03A0003000207	A-s-pt	Adjective superlative plural allative	Adjective Degree=superlative Number=plural Case=allative
03A0003000208	A-s-p3	Adjective superlative plural adessive	Adjective Degree=superlative Number=plural Case=adessive
03A0003000210	A-s-p4	Adjective superlative plural translative	Adjective Degree=superlative Number=plural Case=translative
04P0101000101	Pp1-sn	Pronoun personal first singular nominative	Pronoun Type=personal Person=first Number=singular Case=nominative
04P0101000102	Pp1-sg	Pronoun personal first singular genitive	Pronoun Type=personal Person=first Number=singular Case=genitive
04P0101000103	Pp1-s1	Pronoun personal first singular partitive	Pronoun Type=personal Person=first Number=singular Case=partitive
04P0101000104	Pp1-sx	Pronoun personal first singular illative	Pronoun Type=personal Person=first Number=singular Case=illative
04P0101000105	Pp1-s2	Pronoun personal first singular inessive	Pronoun Type=personal Person=first Number=singular Case=inessive
04P0101000106	Pp1-se	Pronoun personal first singular elative	Pronoun Type=personal Person=first Number=singular Case=elative
04P0101000107	Pp1-st	Pronoun personal first singular allative	Pronoun Type=personal Person=first Number=singular Case=allative
04P0101000108	Pp1-s3	Pronoun personal first singular adessive	Pronoun Type=personal Person=first Number=singular Case=adessive
04P0101000109	Pp1-sb	Pronoun personal first singular ablative	Pronoun Type=personal Person=first Number=singular Case=ablative
04P0101000111	Pp1-s9	Pronoun personal first singular terminative	Pronoun Type=personal Person=first Number=singular Case=terminative
04P0101000113	Pp1-s5	Pronoun personal first singular abessive	Pronoun Type=personal Person=first Number=singular Case=abessive
04P0101000114	Pp1-sk	Pronoun personal first singular komitative	Pronoun Type=personal Person=first Number=singular Case=komitative
04P0101000201	Pp1-pn	Pronoun personal first plural nominative	Pronoun Type=personal Person=first Number=plural Case=nominative
04P0101000202	Pp1-pg	Pronoun personal first plural genitive	Pronoun Type=personal Person=first Number=plural Case=genitive
04P0101000203	Pp1-p1	Pronoun personal first plural partitive	Pronoun Type=personal Person=first Number=plural Case=partitive
04P0101000204	Pp1-px	Pronoun personal first plural illative	Pronoun Type=personal Person=first Number=plural Case=illative
04P0101000205	Pp1-p2	Pronoun personal first plural inessive	Pronoun Type=personal Person=first Number=plural Case=inessive
04P0101000206	Pp1-pe	Pronoun personal first plural elative	Pronoun Type=personal Person=first Number=plural Case=elative
04P0101000207	Pp1-pt	Pronoun personal first plural allative	Pronoun Type=personal Person=first Number=plural Case=allative
04P0101000208	Pp1-p3	Pronoun personal first plural adessive	Pronoun Type=personal Person=first Number=plural Case=adessive
04P0101000209	Pp1-pb	Pronoun personal first plural ablative	Pronoun Type=personal Person=first Number=plural Case=ablative
04P0101000211	Pp1-p9	Pronoun personal first plural terminative	Pronoun Type=personal Person=first Number=plural Case=terminative
04P0101000214	Pp1-pk	Pronoun personal first plural komitative	Pronoun Type=personal Person=first Number=plural Case=komitative
04P0102000101	Pp2-sn	Pronoun personal second singular nominative	Pronoun Type=personal Person=second Number=singular Case=nominative
04P0102000102	Pp2-sg	Pronoun personal second singular genitive	Pronoun Type=personal Person=second Number=singular Case=genitive
04P0102000103	Pp2-s1	Pronoun personal second singular partitive	Pronoun Type=personal Person=second Number=singular Case=partitive
04P0102000104	Pp2-sx	Pronoun personal second singular illative	Pronoun Type=personal Person=second Number=singular Case=illative
04P0102000105	Pp2-s2	Pronoun personal second singular inessive	Pronoun Type=personal Person=second Number=singular Case=inessive
04P0102000106	Pp2-se	Pronoun personal second singular elative	Pronoun Type=personal Person=second Number=singular Case=elative
04P0102000107	Pp2-st	Pronoun personal second singular allative	Pronoun Type=personal Person=second Number=singular Case=allative
04P0102000108	Pp2-s3	Pronoun personal second singular adessive	Pronoun Type=personal Person=second Number=singular Case=adessive
04P0102000109	Pp2-sb	Pronoun personal second singular ablative	Pronoun Type=personal Person=second Number=singular Case=ablative
04P0102000111	Pp2-s9	Pronoun personal second singular terminative	Pronoun Type=personal Person=second Number=singular Case=terminative
04P0102000113	Pp2-s5	Pronoun personal second singular abessive	Pronoun Type=personal Person=second Number=singular Case=abessive
04P0102000114	Pp2-sk	Pronoun personal second singular komitative	Pronoun Type=personal Person=second Number=singular Case=komitative
04P0102000201	Pp2-pn	Pronoun personal second plural nominative	Pronoun Type=personal Person=second Number=plural Case=nominative
04P0102000202	Pp2-pg	Pronoun personal second plural genitive	Pronoun Type=personal Person=second Number=plural Case=genitive
04P0102000203	Pp2-p1	Pronoun personal second plural partitive	Pronoun Type=personal Person=second Number=plural Case=partitive
04P0102000204	Pp2-px	Pronoun personal second plural illative	Pronoun Type=personal Person=second Number=plural Case=illative
04P0102000205	Pp2-p2	Pronoun personal second plural inessive	Pronoun Type=personal Person=second Number=plural Case=inessive
04P0102000206	Pp2-pe	Pronoun personal second plural elative	Pronoun Type=personal Person=second Number=plural Case=elative
04P0102000207	Pp2-pt	Pronoun personal second plural allative	Pronoun Type=personal Person=second Number=plural Case=allative
04P0102000208	Pp2-p3	Pronoun personal second plural adessive	Pronoun Type=personal Person=second Number=plural Case=adessive
04P0102000209	Pp2-pb	Pronoun personal second plural ablative	Pronoun Type=personal Person=second Number=plural Case=ablative
04P0102000214	Pp2-pk	Pronoun personal second plural komitative	Pronoun Type=personal Person=second Number=plural Case=komitative
04P0103000101	Pp3-sn	Pronoun personal third singular nominative	Pronoun Type=personal Person=third Number=singular Case=nominative
04P0103000102	Pp3-sg	Pronoun personal third singular genitive	Pronoun Type=personal Person=third Number=singular Case=genitive
04P0103000103	Pp3-s1	Pronoun personal third singular partitive	Pronoun Type=personal Person=third Number=singular Case=partitive
04P0103000104	Pp3-sx	Pronoun personal third singular illative	Pronoun Type=personal Person=third Number=singular Case=illative
04P0103000105	Pp3-s2	Pronoun personal third singular inessive	Pronoun Type=personal Person=third Number=singular Case=inessive
04P0103000106	Pp3-se	Pronoun personal third singular elative	Pronoun Type=personal Person=third Number=singular Case=elative
04P0103000107	Pp3-st	Pronoun personal third singular allative	Pronoun Type=personal Person=third Number=singular Case=allative
04P0103000108	Pp3-s3	Pronoun personal third singular adessive	Pronoun Type=personal Person=third Number=singular Case=adessive
04P0103000109	Pp3-sb	Pronoun personal third singular ablative	Pronoun Type=personal Person=third Number=singular Case=ablative
04P0103000111	Pp3-s9	Pronoun personal third singular terminative	Pronoun Type=personal Person=third Number=singular Case=terminative
04P0103000113	Pp3-s5	Pronoun personal third singular abessive	Pronoun Type=personal Person=third Number=singular Case=abessive
04P0103000114	Pp3-sk	Pronoun personal third singular komitative	Pronoun Type=personal Person=third Number=singular Case=komitative
04P0103000201	Pp3-pn	Pronoun personal third plural nominative	Pronoun Type=personal Person=third Number=plural Case=nominative
04P0103000202	Pp3-pg	Pronoun personal third plural genitive	Pronoun Type=personal Person=third Number=plural Case=genitive
04P0103000203	Pp3-p1	Pronoun personal third plural partitive	Pronoun Type=personal Person=third Number=plural Case=partitive
04P0103000204	Pp3-px	Pronoun personal third plural illative	Pronoun Type=personal Person=third Number=plural Case=illative
04P0103000205	Pp3-p2	Pronoun personal third plural inessive	Pronoun Type=personal Person=third Number=plural Case=inessive
04P0103000206	Pp3-pe	Pronoun personal third plural elative	Pronoun Type=personal Person=third Number=plural Case=elative
04P0103000207	Pp3-pt	Pronoun personal third plural allative	Pronoun Type=personal Person=third Number=plural Case=allative
04P0103000208	Pp3-p3	Pronoun personal third plural adessive	Pronoun Type=personal Person=third Number=plural Case=adessive
04P0103000209	Pp3-pb	Pronoun personal third plural ablative	Pronoun Type=personal Person=third Number=plural Case=ablative
04P0103000210	Pp3-p4	Pronoun personal third plural translative	Pronoun Type=personal Person=third Number=plural Case=translative
04P0103000211	Pp3-p9	Pronoun personal third plural terminative	Pronoun Type=personal Person=third Number=plural Case=terminative
04P0103000213	Pp3-p5	Pronoun personal third plural abessive	Pronoun Type=personal Person=third Number=plural Case=abessive
04P0103000214	Pp3-pk	Pronoun personal third plural komitative	Pronoun Type=personal Person=third Number=plural Case=komitative
04P0200000101	Pd--sn	Pronoun demonstrative singular nominative	Pronoun Type=demonstrative Number=singular Case=nominative
04P0200000102	Pd--sg	Pronoun demonstrative singular genitive	Pronoun Type=demonstrative Number=singular Case=genitive
04P0200000103	Pd--s1	Pronoun demonstrative singular partitive	Pronoun Type=demonstrative Number=singular Case=partitive
04P0200000104	Pd--sx	Pronoun demonstrative singular illative	Pronoun Type=demonstrative Number=singular Case=illative
04P0200000105	Pd--s2	Pronoun demonstrative singular inessive	Pronoun Type=demonstrative Number=singular Case=inessive
04P0200000106	Pd--se	Pronoun demonstrative singular elative	Pronoun Type=demonstrative Number=singular Case=elative
04P0200000107	Pd--st	Pronoun demonstrative singular allative	Pronoun Type=demonstrative Number=singular Case=allative
04P0200000108	Pd--s3	Pronoun demonstrative singular adessive	Pronoun Type=demonstrative Number=singular Case=adessive
04P0200000109	Pd--sb	Pronoun demonstrative singular ablative	Pronoun Type=demonstrative Number=singular Case=ablative
04P0200000110	Pd--s4	Pronoun demonstrative singular translative	Pronoun Type=demonstrative Number=singular Case=translative
04P0200000111	Pd--s9	Pronoun demonstrative singular terminative	Pronoun Type=demonstrative Number=singular Case=terminative
04P0200000112	Pd--sw	Pronoun demonstrative singular essive	Pronoun Type=demonstrative Number=singular Case=essive
04P0200000113	Pd--s5	Pronoun demonstrative singular abessive	Pronoun Type=demonstrative Number=singular Case=abessive
04P0200000114	Pd--sk	Pronoun demonstrative singular komitative	Pronoun Type=demonstrative Number=singular Case=komitative
04P0200000115	Pd--s7	Pronoun demonstrative singular aditive	Pronoun Type=demonstrative Number=singular Case=aditive
04P0200000201	Pd--pn	Pronoun demonstrative plural nominative	Pronoun Type=demonstrative Number=plural Case=nominative
04P0200000202	Pd--pg	Pronoun demonstrative plural genitive	Pronoun Type=demonstrative Number=plural Case=genitive
04P0200000203	Pd--p1	Pronoun demonstrative plural partitive	Pronoun Type=demonstrative Number=plural Case=partitive
04P0200000204	Pd--px	Pronoun demonstrative plural illative	Pronoun Type=demonstrative Number=plural Case=illative
04P0200000205	Pd--p2	Pronoun demonstrative plural inessive	Pronoun Type=demonstrative Number=plural Case=inessive
04P0200000206	Pd--pe	Pronoun demonstrative plural elative	Pronoun Type=demonstrative Number=plural Case=elative
04P0200000207	Pd--pt	Pronoun demonstrative plural allative	Pronoun Type=demonstrative Number=plural Case=allative
04P0200000208	Pd--p3	Pronoun demonstrative plural adessive	Pronoun Type=demonstrative Number=plural Case=adessive
04P0200000209	Pd--pb	Pronoun demonstrative plural ablative	Pronoun Type=demonstrative Number=plural Case=ablative
04P0200000210	Pd--p4	Pronoun demonstrative plural translative	Pronoun Type=demonstrative Number=plural Case=translative
04P0200000211	Pd--p9	Pronoun demonstrative plural terminative	Pronoun Type=demonstrative Number=plural Case=terminative
04P0200000212	Pd--pw	Pronoun demonstrative plural essive	Pronoun Type=demonstrative Number=plural Case=essive
04P0200000213	Pd--p5	Pronoun demonstrative plural abessive	Pronoun Type=demonstrative Number=plural Case=abessive
04P0200000214	Pd--pk	Pronoun demonstrative plural komitative	Pronoun Type=demonstrative Number=plural Case=komitative
04P0300000000	Pi	Pronoun indefinite	Pronoun Type=indefinite
04P0300000101	Pi--sn	Pronoun indefinite singular nominative	Pronoun Type=indefinite Number=singular Case=nominative
04P0300000102	Pi--sg	Pronoun indefinite singular genitive	Pronoun Type=indefinite Number=singular Case=genitive
04P0300000103	Pi--s1	Pronoun indefinite singular partitive	Pronoun Type=indefinite Number=singular Case=partitive
04P0300000104	Pi--sx	Pronoun indefinite singular illative	Pronoun Type=indefinite Number=singular Case=illative
04P0300000105	Pi--s2	Pronoun indefinite singular inessive	Pronoun Type=indefinite Number=singular Case=inessive
04P0300000106	Pi--se	Pronoun indefinite singular elative	Pronoun Type=indefinite Number=singular Case=elative
04P0300000107	Pi--st	Pronoun indefinite singular allative	Pronoun Type=indefinite Number=singular Case=allative
04P0300000108	Pi--s3	Pronoun indefinite singular adessive	Pronoun Type=indefinite Number=singular Case=adessive
04P0300000109	Pi--sb	Pronoun indefinite singular ablative	Pronoun Type=indefinite Number=singular Case=ablative
04P0300000110	Pi--s4	Pronoun indefinite singular translative	Pronoun Type=indefinite Number=singular Case=translative
04P0300000112	Pi--sw	Pronoun indefinite singular essive	Pronoun Type=indefinite Number=singular Case=essive
04P0300000113	Pi--s5	Pronoun indefinite singular abessive	Pronoun Type=indefinite Number=singular Case=abessive
04P0300000114	Pi--sk	Pronoun indefinite singular komitative	Pronoun Type=indefinite Number=singular Case=komitative
04P0300000115	Pi--s7	Pronoun indefinite singular aditive	Pronoun Type=indefinite Number=singular Case=aditive
04P0300000201	Pi--pn	Pronoun indefinite plural nominative	Pronoun Type=indefinite Number=plural Case=nominative
04P0300000202	Pi--pg	Pronoun indefinite plural genitive	Pronoun Type=indefinite Number=plural Case=genitive
04P0300000203	Pi--p1	Pronoun indefinite plural partitive	Pronoun Type=indefinite Number=plural Case=partitive
04P0300000204	Pi--px	Pronoun indefinite plural illative	Pronoun Type=indefinite Number=plural Case=illative
04P0300000205	Pi--p2	Pronoun indefinite plural inessive	Pronoun Type=indefinite Number=plural Case=inessive
04P0300000206	Pi--pe	Pronoun indefinite plural elative	Pronoun Type=indefinite Number=plural Case=elative
04P0300000207	Pi--pt	Pronoun indefinite plural allative	Pronoun Type=indefinite Number=plural Case=allative
04P0300000208	Pi--p3	Pronoun indefinite plural adessive	Pronoun Type=indefinite Number=plural Case=adessive
04P0300000209	Pi--pb	Pronoun indefinite plural ablative	Pronoun Type=indefinite Number=plural Case=ablative
04P0300000210	Pi--p4	Pronoun indefinite plural translative	Pronoun Type=indefinite Number=plural Case=translative
04P0300000214	Pi--pk	Pronoun indefinite plural komitative	Pronoun Type=indefinite Number=plural Case=komitative
04P0400000101	Ps--sn	Pronoun possessive singular nominative	Pronoun Type=possessive Number=singular Case=nominative
04P0400000102	Ps--sg	Pronoun possessive singular genitive	Pronoun Type=possessive Number=singular Case=genitive
04P0400000103	Ps--s1	Pronoun possessive singular partitive	Pronoun Type=possessive Number=singular Case=partitive
04P0400000105	Ps--s2	Pronoun possessive singular inessive	Pronoun Type=possessive Number=singular Case=inessive
04P0400000106	Ps--se	Pronoun possessive singular elative	Pronoun Type=possessive Number=singular Case=elative
04P0400000107	Ps--st	Pronoun possessive singular allative	Pronoun Type=possessive Number=singular Case=allative
04P0400000108	Ps--s3	Pronoun possessive singular adessive	Pronoun Type=possessive Number=singular Case=adessive
04P0400000109	Ps--sb	Pronoun possessive singular ablative	Pronoun Type=possessive Number=singular Case=ablative
04P0400000110	Ps--s4	Pronoun possessive singular translative	Pronoun Type=possessive Number=singular Case=translative
04P0400000114	Ps--sk	Pronoun possessive singular komitative	Pronoun Type=possessive Number=singular Case=komitative
04P0400000201	Ps--pn	Pronoun possessive plural nominative	Pronoun Type=possessive Number=plural Case=nominative
04P0400000202	Ps--pg	Pronoun possessive plural genitive	Pronoun Type=possessive Number=plural Case=genitive
04P0400000203	Ps--p1	Pronoun possessive plural partitive	Pronoun Type=possessive Number=plural Case=partitive
04P0400000205	Ps--p2	Pronoun possessive plural inessive	Pronoun Type=possessive Number=plural Case=inessive
04P0400000206	Ps--pe	Pronoun possessive plural elative	Pronoun Type=possessive Number=plural Case=elative
04P0400000207	Ps--pt	Pronoun possessive plural allative	Pronoun Type=possessive Number=plural Case=allative
04P0400000212	Ps--pw	Pronoun possessive plural essive	Pronoun Type=possessive Number=plural Case=essive
04P0400000214	Ps--pk	Pronoun possessive plural komitative	Pronoun Type=possessive Number=plural Case=komitative
04P0500000101	Pq--sn	Pronoun interrogative singular nominative	Pronoun Type=interrogative Number=singular Case=nominative
04P0500000102	Pq--sg	Pronoun interrogative singular genitive	Pronoun Type=interrogative Number=singular Case=genitive
04P0500000103	Pq--s1	Pronoun interrogative singular partitive	Pronoun Type=interrogative Number=singular Case=partitive
04P0500000104	Pq--sx	Pronoun interrogative singular illative	Pronoun Type=interrogative Number=singular Case=illative
04P0500000105	Pq--s2	Pronoun interrogative singular inessive	Pronoun Type=interrogative Number=singular Case=inessive
04P0500000106	Pq--se	Pronoun interrogative singular elative	Pronoun Type=interrogative Number=singular Case=elative
04P0500000107	Pq--st	Pronoun interrogative singular allative	Pronoun Type=interrogative Number=singular Case=allative
04P0500000108	Pq--s3	Pronoun interrogative singular adessive	Pronoun Type=interrogative Number=singular Case=adessive
04P0500000109	Pq--sb	Pronoun interrogative singular ablative	Pronoun Type=interrogative Number=singular Case=ablative
04P0500000110	Pq--s4	Pronoun interrogative singular translative	Pronoun Type=interrogative Number=singular Case=translative
04P0500000111	Pq--s9	Pronoun interrogative singular terminative	Pronoun Type=interrogative Number=singular Case=terminative
04P0500000112	Pq--sw	Pronoun interrogative singular essive	Pronoun Type=interrogative Number=singular Case=essive
04P0500000113	Pq--s5	Pronoun interrogative singular abessive	Pronoun Type=interrogative Number=singular Case=abessive
04P0500000114	Pq--sk	Pronoun interrogative singular komitative	Pronoun Type=interrogative Number=singular Case=komitative
04P0500000115	Pq--s7	Pronoun interrogative singular aditive	Pronoun Type=interrogative Number=singular Case=aditive
04P0500000201	Pq--pn	Pronoun interrogative plural nominative	Pronoun Type=interrogative Number=plural Case=nominative
04P0500000202	Pq--pg	Pronoun interrogative plural genitive	Pronoun Type=interrogative Number=plural Case=genitive
04P0500000203	Pq--p1	Pronoun interrogative plural partitive	Pronoun Type=interrogative Number=plural Case=partitive
04P0500000204	Pq--px	Pronoun interrogative plural illative	Pronoun Type=interrogative Number=plural Case=illative
04P0500000205	Pq--p2	Pronoun interrogative plural inessive	Pronoun Type=interrogative Number=plural Case=inessive
04P0500000206	Pq--pe	Pronoun interrogative plural elative	Pronoun Type=interrogative Number=plural Case=elative
04P0500000207	Pq--pt	Pronoun interrogative plural allative	Pronoun Type=interrogative Number=plural Case=allative
04P0500000208	Pq--p3	Pronoun interrogative plural adessive	Pronoun Type=interrogative Number=plural Case=adessive
04P0500000209	Pq--pb	Pronoun interrogative plural ablative	Pronoun Type=interrogative Number=plural Case=ablative
