01N01010000000000	Ncm	Noun common masculine	Noun Type=common Gender=masculine
03A0101010202010000	Afpmpgn	Adjective qualificative positive masculine plural genitive -Definiteness	Adjective Type=qualificative Degree=positive Gender=masculine Number=plural Case=genitive Definiteness=no
03A0101010203000000	Afpmpd	Adjective qualificative positive masculine plural dative	Adjective Type=qualificative Degree=positive Gender=masculine Number=plural Case=dative
03A0101010204000000	Afpmpa	Adjective qualificative positive masculine plural accusative	Adjective Type=qualificative Degree=positive Gender=masculine Number=plural Case=accusative
03A0101010205000000	Afpmpl	Adjective qualificative positive masculine plural locative	Adjective Type=qualificative Degree=positive Gender=masculine Number=plural Case=locative
03A0101010206000000	Afpmpi	Adjective qualificative positive masculine plural instrumental	Adjective Type=qualificative Degree=positive Gender=masculine Number=plural Case=instrumental
03A0101010301000000	Afpmdn	Adjective qualificative positive masculine dual nominative	Adjective Type=qualificative Degree=positive Gender=masculine Number=dual Case=nominative
03A0101020101000000	Afpfsn	Adjective qualificative positive feminine singular nominative	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=nominative
03A0101020102000000	Afpfsg	Adjective qualificative positive feminine singular genitive	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=genitive
03A0101020103000000	Afpfsd	Adjective qualificative positive feminine singular dative	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=dative
03A0101020104000000	Afpfsa	Adjective qualificative positive feminine singular accusative	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=accusative
03A0101020104010000	Afpfsan	Adjective qualificative positive feminine singular accusative -Definiteness	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=accusative Definiteness=no
03A0101020105000000	Afpfsl	Adjective qualificative positive feminine singular locative	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=locative
03A0101020106000000	Afpfsi	Adjective qualificative positive feminine singular instrumental	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=instrumental
03A0101020201000000	Afpfpn	Adjective qualificative positive feminine plural nominative	Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Case=nominative
03A0101020204000000	Afpfpa	Adjective qualificative positive feminine plural accusative	Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Case=accusative
03A0101020304000000	Afpfda	Adjective qualificative positive feminine dual accusative	Adjective Type=qualificative Degree=positive Gender=feminine Number=dual Case=accusative
03A0101030101010000	Afpnsnn	Adjective qualificative positive neuter singular nominative -Definiteness	Adjective Type=qualificative Degree=positive Gender=neuter Number=singular Case=nominative Definiteness=no
03A0101030101020000	Afpnsny	Adjective qualificative positive neuter singular nominative +Definiteness	Adjective Type=qualificative Degree=positive Gender=neuter Number=singular Case=nominative Definiteness=yes
03A0101030102000000	Afpnsg	Adjective qualificative positive neuter singular genitive	Adjective Type=qualificative Degree=positive Gender=neuter Number=singular Case=genitive
03A0101030104000002	Afpnsa--y	Adjective qualificative positive neuter singular accusative +Animate	Adjective Type=qualificative Degree=positive Gender=neuter Number=singular Case=accusative Animate=yes
03A0101030104010001	Afpnsan-n	Adjective qualificative positive neuter singular accusative -Definiteness -Animate	Adjective Type=qualificative Degree=positive Gender=neuter Number=singular Case=accusative Definiteness=no Animate=no
03A0101030104020001	Afpnsay-n	Adjective qualificative positive neuter singular accusative +Definiteness -Animate	Adjective Type=qualificative Degree=positive Gender=neuter Number=singular Case=accusative Definiteness=yes Animate=no
03A0101030105000000	Afpnsl	Adjective qualificative positive neuter singular locative	Adjective Type=qualificative Degree=positive Gender=neuter Number=singular Case=locative
03A0101030106000000	Afpnsi	Adjective qualificative positive neuter singular instrumental	Adjective Type=qualificative Degree=positive Gender=neuter Number=singular Case=instrumental
03A0101030204000000	Afpnpa	Adjective qualificative positive neuter plural accusative	Adjective Type=qualificative Degree=positive Gender=neuter Number=plural Case=accusative
03A0101030206000000	Afpnpi	Adjective qualificative positive neuter plural instrumental	Adjective Type=qualificative Degree=positive Gender=neuter Number=plural Case=instrumental
03A0102010101000000	Afcmsn	Adjective qualificative comparative masculine singular nominative	Adjective Type=qualificative Degree=comparative Gender=masculine Number=singular Case=nominative
03A0102020101000000	Afcfsn	Adjective qualificative comparative feminine singular nominative	Adjective Type=qualificative Degree=comparative Gender=feminine Number=singular Case=nominative
03A0102030101000000	Afcnsn	Adjective qualificative comparative neuter singular nominative	Adjective Type=qualificative Degree=comparative Gender=neuter Number=singular Case=nominative
03A0102030104000001	Afcnsa--n	Adjective qualificative comparative neuter singular accusative -Animate	Adjective Type=qualificative Degree=comparative Gender=neuter Number=singular Case=accusative Animate=no
03A0103000000000000	Afs	Adjective qualificative superlative	Adjective Type=qualificative Degree=superlative
03A0103010104000001	Afsmsa--n	Adjective qualificative superlative masculine singular accusative -Animate	Adjective Type=qualificative Degree=superlative Gender=masculine Number=singular Case=accusative Animate=no
03A0103020101000000	Afsfsn	Adjective qualificative superlative feminine singular nominative	Adjective Type=qualificative Degree=superlative Gender=feminine Number=singular Case=nominative
03A0301010101020000	Aopmsny	Adjective ordinal positive masculine singular nominative +Definiteness	Adjective Type=ordinal Degree=positive Gender=masculine Number=singular Case=nominative Definiteness=yes
03A0301010102000000	Aopmsg	Adjective ordinal positive masculine singular genitive	Adjective Type=ordinal Degree=positive Gender=masculine Number=singular Case=genitive
03A0301010104000001	Aopmsa--n	Adjective ordinal positive masculine singular accusative -Animate	Adjective Type=ordinal Degree=positive Gender=masculine Number=singular Case=accusative Animate=no
03A0301010104000002	Aopmsa--y	Adjective ordinal positive masculine singular accusative +Animate	Adjective Type=ordinal Degree=positive Gender=masculine Number=singular Case=accusative Animate=yes
03A0301010104010001	Aopmsan-n	Adjective ordinal positive masculine singular accusative -Definiteness -Animate	Adjective Type=ordinal Degree=positive Gender=masculine Number=singular Case=accusative Definiteness=no Animate=no
03A0301010105000000	Aopmsl	Adjective ordinal positive masculine singular locative	Adjective Type=ordinal Degree=positive Gender=masculine Number=singular Case=locative
03A0301010202000000	Aopmpg	Adjective ordinal positive masculine plural genitive	Adjective Type=ordinal Degree=positive Gender=masculine Number=plural Case=genitive
03A0301010204000000	Aopmpa	Adjective ordinal positive masculine plural accusative	Adjective Type=ordinal Degree=positive Gender=masculine Number=plural Case=accusative
03A0301010205000000	Aopmpl	Adjective ordinal positive masculine plural locative	Adjective Type=ordinal Degree=positive Gender=masculine Number=plural Case=locative
03A0301010301000000	Aopmdn	Adjective ordinal positive masculine dual nominative	Adjective Type=ordinal Degree=positive Gender=masculine Number=dual Case=nominative
03A0301020101000000	Aopfsn	Adjective ordinal positive feminine singular nominative	Adjective Type=ordinal Degree=positive Gender=feminine Number=singular Case=nominative
03A0301020105000000	Aopfsl	Adjective ordinal positive feminine singular locative	Adjective Type=ordinal Degree=positive Gender=feminine Number=singular Case=locative
03A0301020106000000	Aopfsi	Adjective ordinal positive feminine singular instrumental	Adjective Type=ordinal Degree=positive Gender=feminine Number=singular Case=instrumental
03A0301030101020000	Aopnsny	Adjective ordinal positive neuter singular nominative +Definiteness	Adjective Type=ordinal Degree=positive Gender=neuter Number=singular Case=nominative Definiteness=yes
04P010100010100000100010000	Pp1-sn--n-n	Pronoun personal first singular nominative -Clitic nominal	Pronoun Type=personal Person=first Number=singular Case=nominative Clitic=no Syntactic_Type=nominal
04P010100010100000200010000	Pp1-sn--y-n	Pronoun personal first singular nominative +Clitic nominal	Pronoun Type=personal Person=first Number=singular Case=nominative Clitic=yes Syntactic_Type=nominal
04P010100010200000100010000	Pp1-sg--n-n	Pronoun personal first singular genitive -Clitic nominal	Pronoun Type=personal Person=first Number=singular Case=genitive Clitic=no Syntactic_Type=nominal
04P010100010300000100010000	Pp1-sd--n-n	Pronoun personal first singular dative -Clitic nominal	Pronoun Type=personal Person=first Number=singular Case=dative Clitic=no Syntactic_Type=nominal
04P010100010300000200010000	Pp1-sd--y-n	Pronoun personal first singular dative +Clitic nominal	Pronoun Type=personal Person=first Number=singular Case=dative Clitic=yes Syntactic_Type=nominal
04P010100010400000100010000	Pp1-sa--n-n	Pronoun personal first singular accusative -Clitic nominal	Pronoun Type=personal Person=first Number=singular Case=accusative Clitic=no Syntactic_Type=nominal
04P010100010400000200010000	Pp1-sa--y-n	Pronoun personal first singular accusative +Clitic nominal	Pronoun Type=personal Person=first Number=singular Case=accusative Clitic=yes Syntactic_Type=nominal
04P010100010400000300010000	Pp1-sa--b-n	Pronoun personal first singular accusative bound nominal	Pronoun Type=personal Person=first Number=singular Case=accusative Clitic=bound Syntactic_Type=nominal
04P010100010500000100010000	Pp1-sl--n-n	Pronoun personal first singular locative -Clitic nominal	Pronoun Type=personal Person=first Number=singular Case=locative Clitic=no Syntactic_Type=nominal
04P010100010600000100010000	Pp1-si--n-n	Pronoun personal first singular instrumental -Clitic nominal	Pronoun Type=personal Person=first Number=singular Case=instrumental Clitic=no Syntactic_Type=nominal
04P010100020100000100010000	Pp1-pn--n-n	Pronoun personal first plural nominative -Clitic nominal	Pronoun Type=personal Person=first Number=plural Case=nominative Clitic=no Syntactic_Type=nominal
04P010100020100000200010000	Pp1-pn--y-n	Pronoun personal first plural nominative +Clitic nominal	Pronoun Type=personal Person=first Number=plural Case=nominative Clitic=yes Syntactic_Type=nominal
04P010100020300000100010000	Pp1-pd--n-n	Pronoun personal first plural dative -Clitic nominal	Pronoun Type=personal Person=first Number=plural Case=dative Clitic=no Syntactic_Type=nominal
04P010100020300000200010000	Pp1-pd--y-n	Pronoun personal first plural dative +Clitic nominal	Pronoun Type=personal Person=first Number=plural Case=dative Clitic=yes Syntactic_Type=nominal
04P010100020400000100010000	Pp1-pa--n-n	Pronoun personal first plural accusative -Clitic nominal	Pronoun Type=personal Person=first Number=plural Case=accusative Clitic=no Syntactic_Type=nominal
04P010100020400000200010000	Pp1-pa--y-n	Pronoun personal first plural accusative +Clitic nominal	Pronoun Type=personal Person=first Number=plural Case=accusative Clitic=yes Syntactic_Type=nominal
04P010100020400000300010000	Pp1-pa--b-n	Pronoun personal first plural accusative bound nominal	Pronoun Type=personal Person=first Number=plural Case=accusative Clitic=bound Syntactic_Type=nominal
04P010100020600000100010000	Pp1-pi--n-n	Pronoun personal first plural instrumental -Clitic nominal	Pronoun Type=personal Person=first Number=plural Case=instrumental Clitic=no Syntactic_Type=nominal
04P010100030300000100010000	Pp1-dd--n-n	Pronoun personal first dual dative -Clitic nominal	Pronoun Type=personal Person=first Number=dual Case=dative Clitic=no Syntactic_Type=nominal
04P010100030400000100010000	Pp1-da--n-n	Pronoun personal first dual accusative -Clitic nominal	Pronoun Type=personal Person=first Number=dual Case=accusative Clitic=no Syntactic_Type=nominal
04P010100030500000100010000	Pp1-dl--n-n	Pronoun personal first dual locative -Clitic nominal	Pronoun Type=personal Person=first Number=dual Case=locative Clitic=no Syntactic_Type=nominal
04P010200010100000100010000	Pp2-sn--n-n	Pronoun personal second singular nominative -Clitic nominal	Pronoun Type=personal Person=second Number=singular Case=nominative Clitic=no Syntactic_Type=nominal
04P010200010100000200010000	Pp2-sn--y-n	Pronoun personal second singular nominative +Clitic nominal	Pronoun Type=personal Person=second Number=singular Case=nominative Clitic=yes Syntactic_Type=nominal
04P010200010200000200010000	Pp2-sg--y-n	Pronoun personal second singular genitive +Clitic nominal	Pronoun Type=personal Person=second Number=singular Case=genitive Clitic=yes Syntactic_Type=nominal
04P010200010300000100010000	Pp2-sd--n-n	Pronoun personal second singular dative -Clitic nominal	Pronoun Type=personal Person=second Number=singular Case=dative Clitic=no Syntactic_Type=nominal
04P010200010300000200010000	Pp2-sd--y-n	Pronoun personal second singular dative +Clitic nominal	Pronoun Type=personal Person=second Number=singular Case=dative Clitic=yes Syntactic_Type=nominal
04P010200010400000200010000	Pp2-sa--y-n	Pronoun personal second singular accusative +Clitic nominal	Pronoun Type=personal Person=second Number=singular Case=accusative Clitic=yes Syntactic_Type=nominal
04P010200010400000300010000	Pp2-sa--b-n	Pronoun personal second singular accusative bound nominal	Pronoun Type=personal Person=second Number=singular Case=accusative Clitic=bound Syntactic_Type=nominal
04P010200010600000100010000	Pp2-si--n-n	Pronoun personal second singular instrumental -Clitic nominal	Pronoun Type=personal Person=second Number=singular Case=instrumental Clitic=no Syntactic_Type=nominal
04P010200020100000100010000	Pp2-pn--n-n	Pronoun personal second plural nominative -Clitic nominal	Pronoun Type=personal Person=second Number=plural Case=nominative Clitic=no Syntactic_Type=nominal
04P010200020100000200010000	Pp2-pn--y-n	Pronoun personal second plural nominative +Clitic nominal	Pronoun Type=personal Person=second Number=plural Case=nominative Clitic=yes Syntactic_Type=nominal
04P010200020200000100010000	Pp2-pg--n-n	Pronoun personal second plural genitive -Clitic nominal	Pronoun Type=personal Person=second Number=plural Case=genitive Clitic=no Syntactic_Type=nominal
04P010200020300000100010000	Pp2-pd--n-n	Pronoun personal second plural dative -Clitic nominal	Pronoun Type=personal Person=second Number=plural Case=dative Clitic=no Syntactic_Type=nominal
04P010200020300000200010000	Pp2-pd--y-n	Pronoun personal second plural dative +Clitic nominal	Pronoun Type=personal Person=second Number=plural Case=dative Clitic=yes Syntactic_Type=nominal
04P010200020400000100010000	Pp2-pa--n-n	Pronoun personal second plural accusative -Clitic nominal	Pronoun Type=personal Person=second Number=plural Case=accusative Clitic=no Syntactic_Type=nominal
04P010200020400000200010000	Pp2-pa--y-n	Pronoun personal second plural accusative +Clitic nominal	Pronoun Type=personal Person=second Number=plural Case=accusative Clitic=yes Syntactic_Type=nominal
04P010200020600000100010000	Pp2-pi--n-n	Pronoun personal second plural instrumental -Clitic nominal	Pronoun Type=personal Person=second Number=plural Case=instrumental Clitic=no Syntactic_Type=nominal
04P010200030100000200010000	Pp2-dn--y-n	Pronoun personal second dual nominative +Clitic nominal	Pronoun Type=personal Person=second Number=dual Case=nominative Clitic=yes Syntactic_Type=nominal
04P010300020200000200010000	Pp3-pg--y-n	Pronoun personal third plural genitive +Clitic nominal	Pronoun Type=personal Person=third Number=plural Case=genitive Clitic=yes Syntactic_Type=nominal
04P010300020300000100010000	Pp3-pd--n-n	Pronoun personal third plural dative -Clitic nominal	Pronoun Type=personal Person=third Number=plural Case=dative Clitic=no Syntactic_Type=nominal
04P010300020300000200010000	Pp3-pd--y-n	Pronoun personal third plural dative +Clitic nominal	Pronoun Type=personal Person=third Number=plural Case=dative Clitic=yes Syntactic_Type=nominal
04P010300020400000200010000	Pp3-pa--y-n	Pronoun personal third plural accusative +Clitic nominal	Pronoun Type=personal Person=third Number=plural Case=accusative Clitic=yes Syntactic_Type=nominal
04P010300020400000300010000	Pp3-pa--b-n	Pronoun personal third plural accusative bound nominal	Pronoun Type=personal Person=third Number=plural Case=accusative Clitic=bound Syntactic_Type=nominal
04P010300020600000100010000	Pp3-pi--n-n	Pronoun personal third plural instrumental -Clitic nominal	Pronoun Type=personal Person=third Number=plural Case=instrumental Clitic=no Syntactic_Type=nominal
04P010300030300000100010000	Pp3-dd--n-n	Pronoun personal third dual dative -Clitic nominal	Pronoun Type=personal Person=third Number=dual Case=dative Clitic=no Syntactic_Type=nominal
04P010300030300000200010000	Pp3-dd--y-n	Pronoun personal third dual dative +Clitic nominal	Pronoun Type=personal Person=third Number=dual Case=dative Clitic=yes Syntactic_Type=nominal
04P010300030600000100010000	Pp3-di--n-n	Pronoun personal third dual instrumental -Clitic nominal	Pronoun Type=personal Person=third Number=dual Case=instrumental Clitic=no Syntactic_Type=nominal
04P010301010100000100010000	Pp3msn--n-n	Pronoun personal third masculine singular nominative -Clitic nominal	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=nominative Clitic=no Syntactic_Type=nominal
04P010301010100000200010000	Pp3msn--y-n	Pronoun personal third masculine singular nominative +Clitic nominal	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=nominative Clitic=yes Syntactic_Type=nominal
04P010301010200000100010000	Pp3msg--n-n	Pronoun personal third masculine singular genitive -Clitic nominal	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=genitive Clitic=no Syntactic_Type=nominal
04P010301010200000200010000	Pp3msg--y-n	Pronoun personal third masculine singular genitive +Clitic nominal	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=genitive Clitic=yes Syntactic_Type=nominal
04P010301010300000100010000	Pp3msd--n-n	Pronoun personal third masculine singular dative -Clitic nominal	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=dative Clitic=no Syntactic_Type=nominal
04P010301010300000200010000	Pp3msd--y-n	Pronoun personal third masculine singular dative +Clitic nominal	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=dative Clitic=yes Syntactic_Type=nominal
04P010301010400000100010002	Pp3msa--n-n-y	Pronoun personal third masculine singular accusative -Clitic nominal +Animate	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=accusative Clitic=no Syntactic_Type=nominal Animate=yes
04P010301010400000200010001	Pp3msa--y-n-n	Pronoun personal third masculine singular accusative +Clitic nominal -Animate	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=accusative Clitic=yes Syntactic_Type=nominal Animate=no
04P010301010400000200010002	Pp3msa--y-n-y	Pronoun personal third masculine singular accusative +Clitic nominal +Animate	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=accusative Clitic=yes Syntactic_Type=nominal Animate=yes
04P010301010400000300010002	Pp3msa--b-n-y	Pronoun personal third masculine singular accusative bound nominal +Animate	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=accusative Clitic=bound Syntactic_Type=nominal Animate=yes
04P010301010500000100010000	Pp3msl--n-n	Pronoun personal third masculine singular locative -Clitic nominal	Pronoun Type=personal Person=third Gender=masculine Number=singular Case=locative Clitic=no Syntactic_Type=nominal
04P010301020100000200010000	Pp3mpn--y-n	Pronoun personal third masculine plural nominative +Clitic nominal	Pronoun Type=personal Person=third Gender=masculine Number=plural Case=nominative Clitic=yes Syntactic_Type=nominal
04P010301030100000100010000	Pp3mdn--n-n	Pronoun personal third masculine dual nominative -Clitic nominal	Pronoun Type=personal Person=third Gender=masculine Number=dual Case=nominative Clitic=no Syntactic_Type=nominal
04P010301030100000200010000	Pp3mdn--y-n	Pronoun personal third masculine dual nominative +Clitic nominal	Pronoun Type=personal Person=third Gender=masculine Number=dual Case=nominative Clitic=yes Syntactic_Type=nominal
04P010302010100000100010000	Pp3fsn--n-n	Pronoun personal third feminine singular nominative -Clitic nominal	Pronoun Type=personal Person=third Gender=feminine Number=singular Case=nominative Clitic=no Syntactic_Type=nominal
04P010302010100000200010000	Pp3fsn--y-n	Pronoun personal third feminine singular nominative +Clitic nominal	Pronoun Type=personal Person=third Gender=feminine Number=singular Case=nominative Clitic=yes Syntactic_Type=nominal
04P010302010200000200010000	Pp3fsg--y-n	Pronoun personal third feminine singular genitive +Clitic nominal	Pronoun Type=personal Person=third Gender=feminine Number=singular Case=genitive Clitic=yes Syntactic_Type=nominal
04P010302010300000100010000	Pp3fsd--n-n	Pronoun personal third feminine singular dative -Clitic nominal	Pronoun Type=personal Person=third Gender=feminine Number=singular Case=dative Clitic=no Syntactic_Type=nominal
04P010302010300000200010000	Pp3fsd--y-n	Pronoun personal third feminine singular dative +Clitic nominal	Pronoun Type=personal Person=third Gender=feminine Number=singular Case=dative Clitic=yes Syntactic_Type=nominal
04P010302010400000200010000	Pp3fsa--y-n	Pronoun personal third feminine singular accusative +Clitic nominal	Pronoun Type=personal Person=third Gender=feminine Number=singular Case=accusative Clitic=yes Syntactic_Type=nominal
04P010302010500000100010000	Pp3fsl--n-n	Pronoun personal third feminine singular locative -Clitic nominal	Pronoun Type=personal Person=third Gender=feminine Number=singular Case=locative Clitic=no Syntactic_Type=nominal
04P010302020100000100010000	Pp3fpn--n-n	Pronoun personal third feminine plural nominative -Clitic nominal	Pronoun Type=personal Person=third Gender=feminine Number=plural Case=nominative Clitic=no Syntactic_Type=nominal
04P010302020100000200010000	Pp3fpn--y-n	Pronoun personal third feminine plural nominative +Clitic nominal	Pronoun Type=personal Person=third Gender=feminine Number=plural Case=nominative Clitic=yes Syntactic_Type=nominal
04P010303010100000200010000	Pp3nsn--y-n	Pronoun personal third neuter singular nominative +Clitic nominal	Pronoun Type=personal Person=third Gender=neuter Number=singular Case=nominative Clitic=yes Syntactic_Type=nominal
04P010303010400000200010002	Pp3nsa--y-n-y	Pronoun personal third neuter singular accusative +Clitic nominal +Animate	Pronoun Type=personal Person=third Gender=neuter Number=singular Case=accusative Clitic=yes Syntactic_Type=nominal Animate=yes
04P020001010100000000010000	Pd-msn----n	Pronoun demonstrative masculine singular nominative nominal	Pronoun Type=demonstrative Gender=masculine Number=singular Case=nominative Syntactic_Type=nominal
04P020001010100000000020000	Pd-msn----a	Pronoun demonstrative masculine singular nominative adjectival	Pronoun Type=demonstrative Gender=masculine Number=singular Case=nominative Syntactic_Type=adjectival
04P020001010200000000020000	Pd-msg----a	Pronoun demonstrative masculine singular genitive adjectival	Pronoun Type=demonstrative Gender=masculine Number=singular Case=genitive Syntactic_Type=adjectival
04P020001010400000000010001	Pd-msa----n-n	Pronoun demonstrative masculine singular accusative nominal -Animate	Pronoun Type=demonstrative Gender=masculine Number=singular Case=accusative Syntactic_Type=nominal Animate=no
04P020001010400000000020001	Pd-msa----a-n	Pronoun demonstrative masculine singular accusative adjectival -Animate	Pronoun Type=demonstrative Gender=masculine Number=singular Case=accusative Syntactic_Type=adjectival Animate=no
04P020001010500000000020000	Pd-msl----a	Pronoun demonstrative masculine singular locative adjectival	Pronoun Type=demonstrative Gender=masculine Number=singular Case=locative Syntactic_Type=adjectival
04P020001020100000000010000	Pd-mpn----n	Pronoun demonstrative masculine plural nominative nominal	Pronoun Type=demonstrative Gender=masculine Number=plural Case=nominative Syntactic_Type=nominal
04P020001020100000000020000	Pd-mpn----a	Pronoun demonstrative masculine plural nominative adjectival	Pronoun Type=demonstrative Gender=masculine Number=plural Case=nominative Syntactic_Type=adjectival
04P020001020300000000010000	Pd-mpd----n	Pronoun demonstrative masculine plural dative nominal	Pronoun Type=demonstrative Gender=masculine Number=plural Case=dative Syntactic_Type=nominal
04P020001020400000000010000	Pd-mpa----n	Pronoun demonstrative masculine plural accusative nominal	Pronoun Type=demonstrative Gender=masculine Number=plural Case=accusative Syntactic_Type=nominal
04P020001020400000000020000	Pd-mpa----a	Pronoun demonstrative masculine plural accusative adjectival	Pronoun Type=demonstrative Gender=masculine Number=plural Case=accusative Syntactic_Type=adjectival
04P020001030600000000010000	Pd-mdi----n	Pronoun demonstrative masculine dual instrumental nominal	Pronoun Type=demonstrative Gender=masculine Number=dual Case=instrumental Syntactic_Type=nominal
04P020002010100000000010000	Pd-fsn----n	Pronoun demonstrative feminine singular nominative nominal	Pronoun Type=demonstrative Gender=feminine Number=singular Case=nominative Syntactic_Type=nominal
04P020002010100000000020000	Pd-fsn----a	Pronoun demonstrative feminine singular nominative adjectival	Pronoun Type=demonstrative Gender=feminine Number=singular Case=nominative Syntactic_Type=adjectival
04P020002010400000000020000	Pd-fsa----a	Pronoun demonstrative feminine singular accusative adjectival	Pronoun Type=demonstrative Gender=feminine Number=singular Case=accusative Syntactic_Type=adjectival
04P020002010500000000020000	Pd-fsl----a	Pronoun demonstrative feminine singular locative adjectival	Pronoun Type=demonstrative Gender=feminine Number=singular Case=locative Syntactic_Type=adjectival
04P020002020100000000020000	Pd-fpn----a	Pronoun demonstrative feminine plural nominative adjectival	Pronoun Type=demonstrative Gender=feminine Number=plural Case=nominative Syntactic_Type=adjectival
04P020002020200000000020000	Pd-fpg----a	Pronoun demonstrative feminine plural genitive adjectival	Pronoun Type=demonstrative Gender=feminine Number=plural Case=genitive Syntactic_Type=adjectival
04P020002020400000000020000	Pd-fpa----a	Pronoun demonstrative feminine plural accusative adjectival	Pronoun Type=demonstrative Gender=feminine Number=plural Case=accusative Syntactic_Type=adjectival
04P020002020600000000020000	Pd-fpi----a	Pronoun demonstrative feminine plural instrumental adjectival	Pronoun Type=demonstrative Gender=feminine Number=plural Case=instrumental Syntactic_Type=adjectival
04P020003010100000000010000	Pd-nsn----n	Pronoun demonstrative neuter singular nominative nominal	Pronoun Type=demonstrative Gender=neuter Number=singular Case=nominative Syntactic_Type=nominal
04P020003010200000000010000	Pd-nsg----n	Pronoun demonstrative neuter singular genitive nominal	Pronoun Type=demonstrative Gender=neuter Number=singular Case=genitive Syntactic_Type=nominal
04P020003010200000000020000	Pd-nsg----a	Pronoun demonstrative neuter singular genitive adjectival	Pronoun Type=demonstrative Gender=neuter Number=singular Case=genitive Syntactic_Type=adjectival
04P020003010400000000010001	Pd-nsa----n-n	Pronoun demonstrative neuter singular accusative nominal -Animate	Pronoun Type=demonstrative Gender=neuter Number=singular Case=accusative Syntactic_Type=nominal Animate=no
04P020003010400000000020001	Pd-nsa----a-n	Pronoun demonstrative neuter singular accusative adjectival -Animate	Pronoun Type=demonstrative Gender=neuter Number=singular Case=accusative Syntactic_Type=adjectival Animate=no
04P020003020400000000020000	Pd-npa----a	Pronoun demonstrative neuter plural accusative adjectival	Pronoun Type=demonstrative Gender=neuter Number=plural Case=accusative Syntactic_Type=adjectival
04P020003020500000000020000	Pd-npl----a	Pronoun demonstrative neuter plural locative adjectival	Pronoun Type=demonstrative Gender=neuter Number=plural Case=locative Syntactic_Type=adjectival
04P030000000400000000010000	Pi---a----n	Pronoun indefinite accusative nominal	Pronoun Type=indefinite Case=accusative Syntactic_Type=nominal
04P030001010100000000010000	Pi-msn----n	Pronoun indefinite masculine singular nominative nominal	Pronoun Type=indefinite Gender=masculine Number=singular Case=nominative Syntactic_Type=nominal
04P030001010100000000020000	Pi-msn----a	Pronoun indefinite masculine singular nominative adjectival	Pronoun Type=indefinite Gender=masculine Number=singular Case=nominative Syntactic_Type=adjectival
04P030001010300000000010000	Pi-msd----n	Pronoun indefinite masculine singular dative nominal	Pronoun Type=indefinite Gender=masculine Number=singular Case=dative Syntactic_Type=nominal
04P030001010400000000020000	Pi-msa----a	Pronoun indefinite masculine singular accusative adjectival	Pronoun Type=indefinite Gender=masculine Number=singular Case=accusative Syntactic_Type=adjectival
04P030002010100000000010000	Pi-fsn----n	Pronoun indefinite feminine singular nominative nominal	Pronoun Type=indefinite Gender=feminine Number=singular Case=nominative Syntactic_Type=nominal
04P030003010400000000020101	Pi-nsa----ann	Pronoun indefinite neuter singular accusative adjectival -Definiteness -Animate	Pronoun Type=indefinite Gender=neuter Number=singular Case=accusative Syntactic_Type=adjectival Definiteness=no Animate=no
04P040100000003000000020000	Ps1---d---a	Pronoun possessive first dual adjectival	Pronoun Type=possessive Person=first Owner_Number=dual Syntactic_Type=adjectival
04P040101010101000000020000	Ps1msns---a	Pronoun possessive first masculine singular nominative singular adjectival	Pronoun Type=possessive Person=first Gender=masculine Number=singular Case=nominative Owner_Number=singular Syntactic_Type=adjectival
04P040101010102000000020000	Ps1msnp---a	Pronoun possessive first masculine singular nominative plural adjectival	Pronoun Type=possessive Person=first Gender=masculine Number=singular Case=nominative Owner_Number=plural Syntactic_Type=adjectival
04P040101010201000000020000	Ps1msgs---a	Pronoun possessive first masculine singular genitive singular adjectival	Pronoun Type=possessive Person=first Gender=masculine Number=singular Case=genitive Owner_Number=singular Syntactic_Type=adjectival
04P040101010202000000020000	Ps1msgp---a	Pronoun possessive first masculine singular genitive plural adjectival	Pronoun Type=possessive Person=first Gender=masculine Number=singular Case=genitive Owner_Number=plural Syntactic_Type=adjectival
04P040101010301000000020000	Ps1msds---a	Pronoun possessive first masculine singular dative singular adjectival	Pronoun Type=possessive Person=first Gender=masculine Number=singular Case=dative Owner_Number=singular Syntactic_Type=adjectival
04P040101010401000000020002	Ps1msas---a-y	Pronoun possessive first masculine singular accusative singular adjectival +Animate	Pronoun Type=possessive Person=first Gender=masculine Number=singular Case=accusative Owner_Number=singular Syntactic_Type=adjectival Animate=yes
